Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,HD scenario body ,HD photo link,HD positive/adaptive THOUGHT,HD positive/adaptive THOUGHT,HD negative/maladaptive THOUGHT,HD tolerating negative or resilience THOUGHT,HD tolerating negative or resilience THOUGHT,HD positive/adaptive FEELING,HD positive/adaptive FEELING,HD negative/maladaptive FEELING,HD tolerating negative or resilience FEELING,HD tolerating negative or resilience FEELING,HD positive/adaptive BEHAVIOR,HD positive/adaptive BEHAVIOR,HD negative/maladaptive BEHAVIOR,HD tolerating negative or resilience BEHAVIOR,HD tolerating negative or resilience BEHAVIOR
Family & Home Life,Social Situations,,Strong opinions,"Your family members have some strong opinions and you don't always agree with them. One evening, you invite a friend over for dinner. ",https://drive.google.com/file/d/1KeHog1u5MnwSfzyD9yBj4oIlp2YAyHwf/view?usp=sharing,I appreciate having different views than my family. ,My friend will be interested in hearing what my family has to say.,My family is to say something that makes me upset.,"If my family say something that I don't agree with, my friend and I can always talk about it later. ","If my friend doesn't agree with my family members' perspectives, they'll still want to be friends with me.",I'm calm sitting at dinner with my family and my friend.,I'm excited to watch a movie with my friend after we eat.,I'm anxious about what my family members might say.,"I'm worried that my family will say something that will make my friend dislike me, but I am more confident in the strength of our friendship. ","I'm embarrassed that my family has such a different point of view than me, but remind myself that everyone has different beliefs.",I remind myself that everyone has different opinions.,I listen to my friend while they talk to my family members.,I zone out and stop paying attention to what people are saying.,"I want to think of something else as everyone talks, but remind myself that I can handle my feelings and tune back into the conversation.","I want to change the topic so we can talk about something less serious, but I let go of trying to control the conversation."
Family & Home Life,Mental Health,,Missing spider,"As you're getting into the shower, you see a huge spider on the wall. You turn away for a second and look back and realize it's gone. ",https://drive.google.com/file/d/1EUMVkI6asoBt7l80JfW7XQ4KWT27fZDe/view?usp=sharing,I'm glad it's gone. ,I think it went back to it's home.,It's going to crawl on me!,"I think about how it could bite me, but remember it is probably trying to avoid me and the water.","I think about how it could be venomous, but realize the chances of that are slim. ",I'm curious where it went. ,I'm calm as I get into the shower. ,I'm scared the spider will show up when I least expect it. ,"I'm anxious about getting into the shower, but know I can overcome my fear. ","I'm grossed out, but remind myself that the spider probably can't hurt me. ",I decide to turn the water on. ,I start to play some music. ,I scream and run away. ,"I want to call someone to help me find the spider, but decide to just take my shower. ","I want to spray bug spray everywhere, but decide to continue my shower routine since spray might do more harm than the spider."
Family & Home Life,,,Babysitting,You are looking after a friend's child and you're watching TV while they sleep. It's dark outside and you suddenly hear noises against the window. ,https://drive.google.com/file/d/11Vs9sz9BDAkaj5QCxD927t-mz-VTFWXn/view?usp=sharing,I think it must be the wind.,I think about how there are lots of animals outside at this time.,I think about how someone could be trying to break in. ,"Even though my brain automatically goes to the worst case scenario, I remind myself that I'm probably safe.","I notice that I'm assuming the worst is going to happen, and remember that everything will actually be OK. ",I'm happy to be helping out my friend by looking after their child.,I'm tired and am looking forward to going to bed.,I feel scared that I don't know what made that noise.,"I feel terrified, but realize my brain is being very imaginative.","I'm worried about what's outside, but remind myself that it was probably the wind.",I pull out a new book and start reading.,I make some popcorn and turn on the TV.,I call the friend to come home immediately. ,"I want to leave the house, but decide to stay. ","I want to wake up the child and ask if they hear anything, but instead let my anxiety pass. "
Family & Home Life,,,Babysitting,You are looking after a friend's child and you're watching TV while they sleep. It's dark outside and you suddenly hear noises against the window. ,https://drive.google.com/file/d/11Vs9sz9BDAkaj5QCxD927t-mz-VTFWXn/view?usp=sharing,There are lots of noises at night. ,It is quieter at night so it's easier to hear lots of things. ,I wonder if I'm in danger. ,"My brain immediately thinks that there's something dangerous outside, but I remind myself that I'm probably safe. ","I picture something trying to get me, but then tell myself that it was most likely the wind on the window. ",I'm excited to see my friend and hear about their night out. ,I'm happy that my favorite show is on TV.,I feel worried that something is looking into the window.,"It makes sense that I was scared at first, but remind myself that I'm probably safe.","My heart is beating a little faster than it was before I heard the noise, but I know that it'll go back to normal soon. ",I put on a funny movie. ,I decide to play some of my favorite music. ,I call my partner and start crying. ,"I feel the urge to hide, but tell myself that it was probably nothing outside.","I want to call my friend to have them come home soon, but tell myself that I can face my fear and that the anxiety will go away."
Family & Home Life,Physical Health,,Aging family member,You go to your parents' home for the first time in a while and notice that your father looks a lot less healthy than you remember. Neither one of your parents mentions anything about his health. ,https://drive.google.com/file/d/1--Dsh79NQFoIe97rn3Clv7DVEK8PAaTM/view?usp=sharing,I want to make the most of my time with my father.,He's happy to see me. ,My father must be dying.,"I think about how miserable I will be when he passes away, but then remind myself to enjoy my time with him today. ","My parents must be keeping a secret about his health, but then tell myself that everyone ages. ",I feel happy to see my father.,I feel excited to catch him up on all the new things that are going on in my life. ,I'm worried about how he looks. ,"I'm scared to lose him, but know that I can handle grief. ","I feel anxious about his health, but tolerate the anxiety. ",I decide to give him a big hug and smile. ,I make a funny joke to get my parents laughing. ,I don't speak to my parents because they didn't tell me he was sick. ,"I want to leave and cry, but decide to stay with the family and engage in conversation. ",I notice my sadness but gently ask my father how he's doing and accept any answer he gives me.
Family & Home Life,Physical Health,,Aging family member,You go to your parents' home for the first time in a while and notice that your father looks a lot less healthy than you remember. Neither one of your parents mentions anything about his health. ,https://drive.google.com/file/d/1--Dsh79NQFoIe97rn3Clv7DVEK8PAaTM/view?usp=sharing,He looks so happy to be with family. ,My father is glad that I'm visiting. ,He's probably going to pass away soon. ,"I wonder what is going on with his health, but reassure myself that my family takes care of him. ","I think about whether my parents are keeping something from me, but tell myself that I can't control my father's health. ",I am grateful to be able to spend time with my father.,I feel thrilled that my father is engaging in conversation. ,I'm uneasy about my father's appearance. ,"I start to feel angry about how he is getting older, but know that this is a part of life and I cannot change it. ","I feel anxious and start to overthink what could be wrong, but remember I can't control his health.",I start to make conversation with my family. ,I laugh at something silly my father said. ,I avoid thinking about his health.,"I want to question the family on his health, but decide to enjoy the gathering. ","I feel the urge to ask about his health, but take a deep breath and listen to what my family is talking about now knowing that there's a reason they haven't told me anything. "
Family & Home Life,Mental Health,,Missing spider,"As you're getting into the shower, you see a huge spider on the wall. You turn away for a second and look back and realize it's gone. ",https://drive.google.com/file/d/1EUMVkI6asoBt7l80JfW7XQ4KWT27fZDe/view?usp=sharing,The spider's movements are really interesting.,The spider isn't going to hurt me.,It's going to jump on me!,"I think about all of the places the spider could be, but I can't control what it's doing.","I think about how scary the spider looked, but also how small it really was. ",I'm going to feel so refreshed after this shower.,I'm grateful the spider is here to eat other bugs in my house.,I feel worried about where the spider may crawl next. ,"I'm nervous about the spider, but remind myself that it probably is more scared of me.","I feel freaked out, but know that I'm brave enough to take my shower anyway.",I put on my favorite song and hop in the shower.,I go on with my bathroom routine.,I leave the bathroom immediately and don't take a shower. ,"I want to run away, but decide to stay and face my fears.","I want to scream, but instead gently move the spider outside."
Early/Mid-Stage Symptoms,,,Symptomatic in Public,You just experienced a lot of chorea while out in public. You fear that everyone around you saw it and is now judging you.,https://drive.google.com/file/d/1aAOQBeFgBrn0pCS_3eath34IXjU9eIaw/view?usp=drive_link,People are probably just concerned and wondering if they should offer their help.,People probably didn't even notice and went about their day as normal.,People saw me moving and thought I was acting crazy.,"There may have been a bunch of people around me, but my chorea wasn't severe enough for it to be largely noticeable by people.","My arms might have been moving a lot, but they were by my sides where they weren't easily seen.",I'm happy that my movements did not cause me to break or hit anything around me.,I'm confident I won't let my social anxiety control me.,I'm scared that this caused a huge scene and people will be talking about me negatively.,"I'm anxious about what people might think about me, but I know that the only people's opinions who are valid are those who were worried about me.","I'm anxious if I look up that a lot of people will be staring at me, but I know if I go about my day as normal, they'll all forget about it quickly.",I take a few steadying breaths before continuing on with my day as normal.,I think about some happy memories to replace the anxiety.,I cover my face with my hands to hide from everyone around me.,"I want to just run away from where I am, but I put one foot slowly in front of the other and own my condition.","I want to scream in frustration, but I keep my eyes forward and think about how ocean waves calm me down."
Early/Mid-Stage Symptoms,,,Symptomatic in Public,,,,,,,,,,,,,,,,,
Early / mid stage symptoms,,,Watching the Game,"You are at a sporting event with some of your friends, sitting in a crowded section. During the game, you feel like your chorea is especially noticeable, and you wonder if the people sitting near you will find this annoying.",https://drive.google.com/file/d/1B-MKc2nNGWu6qxgtdovLHNchSe-JA2Ql/view?usp=sharing,This sporting event is fun.,The people around me don't even notice my symptoms.,The people sitting near me think I am distracting.,"I don't know what the people around me think of me, but I am with my friends who will support me no matter what.","I can't control my body's movements all of the time, but that is something I can live with.",I feel excited to watch the game.,I am happy to spend time with my friends.,I feel bothersome for moving around in my seat.,"I feel anxious about possibly annoying those around me, but I'm not the only one who isn't sitting perfectly still.","I feel upset about not being able to control my arms' and hands' movements, but I know that it doesn't mean I am any less of a person.","I explain to those around me why I keep moving, so they understand.",I talk to my friends during the game so I'm not focusing on the other people around me.,I go stand by myself to avoid bothering people around me.,"I focus on the game, despite feeling uncomfortable in my crowded section.","I want to ask those around me if I'm bothering them, but instead I cheer on the team to fit in."
Early / mid stage symptoms,,,Partaking in Hobbies,"You used to love taking on random hobbies like knitting, painting, or trying new sports. With the progression of your symptoms, you wonder whether you will be able to keep up with these tasks.",https://drive.google.com/file/d/1CJbDbhjElXse_-RdyTb8kaeDBape75aL/view?usp=sharing,I can adapt to whatever symptoms I develop.,I will enjoy finding new hobbies to try.,I am useless with my symptoms.,"Though my hands don't work the same as they used to, I am still capable of tons of things.","I think there are hobbies out there for me, even if I have to do them differently.",I feel excited to find new hobbies and do them in my own way.,I feel confident in my abilities.,I am sad that my symptoms could get in the way of something I enjoy.,"I feel frustrated when I can't do something as easily, but if I take my time, it feels just as rewarding to do it.","Even if my hands make some hobbies difficult, I feel optimistic that I have things that I enjoy doing.",I find a new hobby that works for me.,I find new ways to do the hobbies I love.,I stop taking on new hobbies.,"I'm not able to do all of my old hobbies by myself, but I ask for help for pieces I'm not able to do anymore.","I want to stop taking on hobbies, but I do research to find out what others with my symptoms do for fun."
Early / mid stage symptoms,,,Chat Over Coffee,"You are getting coffee with somebody you haven't seen in a few weeks. During the conversation, you frequently have trouble speaking and begin to wonder if your friend is getting annoyed with you.",https://drive.google.com/file/d/1Opym9PDaZ66W3j3cy6phbjDnrX-W2_ng/view?usp=drive_link,It is great to hear what my friend has been up to.,I am glad that my friend is supportive and understanding with my condition.,My friend thinks I'm being rude to them.,"I think my speech must be really hard to understand, but I remember that my friend has been patient with me before.","My friend might be annoyed, but I know they are understanding of my condition.",I am happy to be here with my friend.,I am excited to tell my friend all about my life recently.,I am scared that my friend will suddenly run out of patience with me.,"I am nervous that people will be judgemental about how I am speaking, but I can spend my time with people who appreciate me.","I feel frustrated trying to get my words to come out differently, but my friend just looks happy to see me.",I ask my friend if we can go outside where there is less background noise to make it easier to talk.,"I pause for a few seconds to let the frustration go, so I don't get angry.",I will tell my friend I have to leave so I don't annoy her.,"I want to stop talking completely, but I pause for a moment and try again.","I want to rush through this so I can leave, but I take a deep breath and appreciate getting to see my friend."
Early / mid stage symptoms,,,Preparing for a Dinner Party,"You planned a dinner party a few weeks ago and the day has finally come. As you begin preparing for it, you notice you are feeling more fatigued than usual.",https://drive.google.com/file/d/1no1kdTmC_SpE4cqvdpUfTEhpT4BNcqQR/view?usp=drive_link,The dinner will be enjoyable.,My friends will be grateful I planned this.,My symptoms will prevent me from finishing the meal in time.,"I may not be able to finish all of this cooking alone, but my guests will be happy to help.","Even if I finish a little after all my friends arrive, they will be fine waiting.",I am grateful to be able to host my friends.,I feel happy to bring people together.,I'm really frustrated that my symptoms are getting in the way of something I care about so much.,"I feel nervous that people will notice I'm not feeling well, but they would not hold that against me.","I feel down that I can't do what I set out, but I know what really matters is that I will see all my friends in one place and have a good meal.",I slow my actions down and take my time.,"I pull up a chair, so I don't have to strain myself as much while preparing the food.",I will ignore how I feel and not ask anyone for help.,"I don't want to tell anyone and worry them, but I let everyone know to practice clear communication.","I want to force myself to behave like I would if I was feeling better, but I let myself rest when I need to, instead."
Early / mid stage symptoms,,,Writing a Grocery List,"You plan on buying groceries later today and decide to make a list. When writing the list of things you need, you realize your handwriting is starting to get worse.",https://drive.google.com/file/d/1X4fo8bSlYVfkXYuTJXPSQ-S_ENPjksaw/view?usp=drive_link,I am still able to make a list in my mind.,I am still able to write with a pen and paper.,I should never write by hand again.,"Writing is starting to make me nervous, but I keep in mind that I still can.","Although I may not write as well as before, I can still express myself.",I am eager to find other ways to express my thoughts.,"I am happy that there are devices that can assist me in making lists, like my phone, if I need them.",I am worried about being too dependent on others.,"I do not like that my handwriting has changed, but seeing that I can still write fairly legibly is assuring.","I will miss the times where writing was not a struggle, but know that it will not stop me.",I can ask my family to help me write what I need.,"I can use other tools to keep track of my list, like my phone.",I will never write anything again because it won't be legible.,"I am able to write the list, it just may take longer than before.","My handwriting might not look neat, but I can still convey myself through writing."
Early / mid stage symptoms,,,Spilling Water,"Before leaving for an appointment, you decide to eat breakfast at home. While finishing up, you spill water all over your dress shirt.",https://drive.google.com/file/d/1O_G61MSRB33WpZ35Q0ebLh24ZHEQgizs/view?usp=drive_link,"This happens to people all the time, regardless of if they have a movement disorder or not.",I am safe and nothing harmful happened.,I can never drink something by myself again because it will always spill.,"This is inconvenient, but I will still make it to the appointment on time.","I will not be able to dry my shirt in time for the appointment, but I have other clothes I can wear.",I am grateful that I did not hurt myself.,I am glad I got to enjoy my breakfast.,I feel frustrated for not having more control of my body.,"Although I feel embarrassed, no one was around to see it.","I am sad that I have symptoms affecting my ability to do daily tasks, but I am still able to get through my day.","I am still home, and can easily change into a new shirt.","I will be able to dry the spill, and no one will know it happened.",I should stay home and not go out in public because I cannot drink water properly anymore.,"Although I felt a moment where I couldn't control myself, I now am able to fix the situation.","Although I made a mistake, I did not do it on purpose."
Early / mid stage symptoms,,,Getting Dressed for Work,You are getting dressed for the day when your fingers become unsteady. You realize you will have to ask your partner to help you finish closing your buttons.,https://drive.google.com/file/d/1iOSwwtGXHr63uVC9bpx3282nHJeeE1On/view?usp=sharing,My partner cares about me and wants to support me.,My partner will be happy knowing that I trust them enough to ask for help.,My partner will think I'm incompetent.,"This is a challenge for both of us, but communication will help us navigate this new dynamic.","I am scared what my partner will think, but I know that they will be understanding of the situation.",I am proud of myself for seeking help and addressing my needs.,I am grateful to have such a supportive partner.,I'm embarrassed about needing help for such a simple task.,"It's understandable to be frustrated, but I can trust my family to support me.","I feel embarrassed, but my partner is understanding and grateful I trusted them to help me.","I will buy clothing without buttons, so that I can dress more independently in the future.",I will try my best to finish getting ready by myself before asking my partner for help.,I will change outfits and never tell my partner about this.,I will change outfits and dress myself but will tell my partner about this later today.,"Even though I want to change outfits and pretend this never happened, I will ask my partner to come help me."
Early / mid stage symptoms,,,Dropping Fork,You are having lunch alone at a restaurant. You feel your hands become unsteady and begin to drop your fork while trying to eat.,https://drive.google.com/file/d/13pFCrKy7Z0cexCWeM6M41qgoMhnqQbzh/view?usp=sharing,I can give myself a break before trying again.,"Food is meant to be enjoyed, so if I have to eat slow, it is not a bad thing.",People are probably judging me after hearing the fork drop.,Just because someone seems to be looking at me doesn't mean they are judging me.,I am worth more than how others perceive me.,I am grateful for this time I can spend by myself.,I am happy to treat myself and eat out.,I am embarrassed that I no longer have total control my body.,"I may feel frustrated, but I can practice being patient with myself.","Although I'm upset that some tasks are more difficult for me now, I can still enjoy my outing.","I will take a deep breath, stretch my hands, and try again.",I will ask the waiter for an extra fork in case mine drops to the floor.,I will give up on my meal and avoid going out in the future.,"I will share this experience with my family, and we will research exercises people with my symptoms have said were helpful.","I want to go home now, but I finish my meal and try to relax afterwards."
Early / mid stage symptoms,,,School Reunion,"You have been invited to a school reunion. Because you've been having more difficulty with your balance lately, you are unsure of how the event will go.",https://drive.google.com/file/d/1E4KVLb-fFP8xt7ayzB42eO8GBkdPJYJQ/view?usp=sharing,The school reunion will be fun.,It will be nice to catch up with old friends and peers.,The other alumni will be judgmental.,"I may trip and fall, but it is likely that people will be understanding.","I will probably be unsteady on my feet, but at least my partner is going with me and can help.",I feel excited about seeing my old friends.,I feel comfortable asking my partner or other friends for help.,I feel embarrassed about falling in front of so many people.,"It may be embarrassing to fall in the moment, but I will be able to get over it.","I feel like a burden, but my partner assures me that I am not.",I will bring my assistive device to help me remain steady.,I will express my worries to my other friends who are going so that they can help.,I will decide not to go to the reunion.,"I am scared of how people will perceive me, but I know there is strength in even showing up to the event.","I am very tempted to ditch the reunion, but I know the important thing that matters is seeing those who I haven't in a while and enjoying each others' company."
Early / mid stage symptoms,,,Tired But Busy,You had to wake up earlier than normal to travel to a doctor’s appointment today and now feel overtired. You wonder how you will manage to complete the errands you planned for the day.,https://drive.google.com/file/d/1C5eyffITSPSxUQbsggbodHcx8FpZhTu9/view?usp=drive_link,I can always change my plans.,I am capable of completing the tasks.,"I won’t be able to complete any tasks today, so I shouldn't even try.","Although I am tired, I will be able to rest beforehand.","I'm frustrated at the thought of not being productive today, but everyone experiences days like those, even people without HD.",I am glad I can now rest after the appointment.,I am eager to start and complete another task.,I am groggy and irritated.,"Although I am more annoyed than usual, I am grateful I went to the doctor’s appointment.","I am very tired, but the thought of being out and about is giving me the boost to keep going.",I will take a nap before starting another task.,I will complete a manageable chore after arriving back home.,I will avoid all tasks and people.,"Even though I want to do nothing and give up on the day, I know that I'll feel a lot better later on if I at least do one more thing.","Even though I want to scream in frustration at my body, I know that getting sleep and rest is a good thing for me to do."
Early / mid stage symptoms,,,Game Night,"You often have game night with your family and tonight you are all playing a board game. While setting up the pieces, you get frustrated with your inability to handle the game pieces smoothly. You wonder how the game will go.",https://drive.google.com/file/d/1RYuZK8b0iI3WNP1R39lrhzMZsf3Bgz3A/view?usp=drive_link,I will enjoy the game despite this difficulty.,I will experience important quality time with my family.,My struggle with playing will ruin the game for everyone.,"Even though I play differently now, it is still enjoyable.","Although it takes more time for me, I am still grateful to share my evening with loved ones.",I feel comfortable in my own home with close family.,I am enjoying the entertaining game.,My struggle has made the night more unpleasant and off-putting.,"I feel disappointed in my abilities, but know the game will still be fun.","I am upset that I can’t take my turn as quickly, but am pleased with the game night regardless.",I engage with my loved ones and enjoy my time with them.,"I continue to play my turn at a slower, more comfortable pace.",I will pretend I do not enjoy the game to have an excuse not to participate.,"Although I'm feeling frustrated, I will let my family members know how I am feeling so they can support me.","Although this is more difficult, I can research tips on how to manage and have my loved ones’ support."
Pre-symptomatic,,,Walking on Vacation,"Before an upcoming vacation with friends, your friend mentions that there will be a lot of walking involved on a sightseeing tour. Recently, you've been feeling more fatigued during routine exercise and wonder if it's your symptoms starting to develop.",https://drive.google.com/file/d/15XNf9Q1p997m03oer51Gi2kuiN39fLE9/view,I will be able to keep up.,I will go at the pace I am comfortable with.,My friends will leave me behind on the tour and I'll have to walk alone.,"Even if I am slower than others, my friends will adjust to pace with me.","I may walk slower, but I will still get to sight-see.",I'm confident that I can keep up.,I'm feeling strong and ready to try my best.,I'm anxious my friends will make comments about my slower pace.,"I feel frustrated that I even have to deal with this, but I know I'm not alone.","I'm upset I might not see everything I planned to, but I'll enjoy the trip no matter what.",I'll talk to my friends beforehand and explain that I've been moving slower recently,"I'll walk at my own pace, bring water, and take plenty of breaks.",I won't go on the sightseeing tour at all.,"While walking far might be difficult, I'll take plenty of breaks and use this as an opportunity to take in the scenery.","While I might fall behind, I'll ask a friend to wait up with me."
Early / mid stage symptoms,,,Slow Note Taking,"You have an important meeting for an event you're helping to plan. You're supposed to take notes for a friend who will be absent, but typing has been difficult recently.",https://drive.google.com/file/d/1ki3QcDv6smQWFQtXqOqHReHZ3WYeWVMB/view,I will be able to take notes just fine.,I will take the best notes that I can.,I won't be able to take any notes and my friend will be upset with me.,"While typing quickly may be difficult for me, I'm sure other planners will be taking notes as well.","While my notes may not be the best, I'm sure they will be good enough.",I am confident my notes will be adequate.,I'm glad I have the opportunity to help out my friend who is missing the meeting.,I'm frustrated with my slow hands.,"I'm anxious about the meeting, but I know my friend will understand if my notes are not the best.","I'm frustrated with my slower hand movements, but I feel strongly that I can at least get the important points.",I can always ask questions after people talk or ask others to slow down.,I can ask another planner to take notes and compare their notes with mine afterwards.,I won't take notes and I'll tell my friend I forgot.,"While my notes may not be the best, I can ask someone to record the meeting so that I can pause it while I take notes.","Although I miss some of the main points, I will explain this to my friend when I give them my notes."
Early / mid stage symptoms,,,Trouble Sleeping,"Your spouse's birthday is coming up, and you know they would enjoy a party. Your sleep has been getting worse lately because of your HD. You are running on fumes and unsure if you will be able to pull off the event.",https://drive.google.com/file/d/1xMVPfm1vN9loYsQtP8k-MT7g4zXYIvOh/view?usp=share_link,I can always ask for help to plan and manage the event.,I enjoy party planning and am capable of what it requires.,"My disease has progressed too far, and I cannot do anything.","I am feeling very tired, but I can ask for help to execute my vision.","Although it is frustrating to feel fatigued, my spouse will be grateful for what I am able to do.",I feel calm knowing that my spouse will feel loved on their birthday.,I am excited to make my loved one feel special.,I feel scared that my spouse will be disappointed in what my disease might limit me to do.,"I am more irritable than usual, but I am glad that I get to put together a celebration for someone I care about.","Although I am exhausted, I can make my tasks more manageable by asking friends and family for help.",I will talk to others attending the party to help out and ease my load.,I will listen to my body while completing tasks to make sure I'm not overexerting myself.,"Instead of seeking help from my loved ones, I cancel the party because I'm too tired.","I may want to cancel any plans to prevent any disappointment, but the important thing is that people who care for each other are together.","I want to snap at anything around me due to my frustrations, but I take a second to take a deep breath and relax before continuing on."
Pre-symptomatic,,,Early Retirement,"Due to the progression of your HD symptoms, you feel that your boss has noticed a decline in your productivity. You wonder if you will have to retire sooner than you planned to.",https://drive.google.com/file/d/1E-CDhn5jEQHscRS7oiv0q4eo9Q6otjYw/view?usp=drive_link,My family and I will find a way to cope.,I know that I can ask others to help out.,My family will face financial burdens.,"Even though I am scared of the potential ramifications, I know that there are those around me, and my family as a whole, who are very supportive.","I'm scared my family may blame me, but they have been nothing but supportive of me during this time and I know we can get through this together.",I feel loved knowing that there is significant support around me.,I feel appreciated for my efforts thus far from my family in supporting them.,I'm scared my family will fall apart after my admission to them.,"I am frustrated that I cannot fulfill the role that my family has always known, but I know that they understand the position I'm in.","I am angry that my life plans are changing, but I am content that we have ways to get by.",I will lean on others for support as I make this transition.,I can search for a position that allows me to rest and address my HD symptoms.,I will not tell my family about what I am going through so that I do not worry them.,"Despite my discomfort, I will allow colleagues, friends, and family to help me through this transition.","I am unsure how retiring will affect our future, but I know that we will find our way together."
Pre-symptomatic,Social Situations,,Mall Trip With Friend,"You've been increasingly anxious lately about whether your HD is progressing. You are nervous about how other people might react if you start having symptoms in public, and can't help but notice your fingers twitching. ",https://drive.google.com/file/d/12uC-2hDNwiZbFd4oyXC_2sa-9ONuDOxd/view?usp=sharing,"Even if this happens, other people will not care.",I have my friend next to me to show support when needed.,Strangers will laugh and judge me for my symptoms.,"Even if passerbys do laugh or look at me weirdly, I won't care because I have my friend next to me.","Even if others do laugh or give me weird looks, they don't know the circumstances I face.",I feel unconditionally supported knowing that there are people in my life who will show up for me.,"I feel grateful that I can still enjoy day-to-day activities, like shopping, even with my symptoms.",I am scared that my friend will not want to be seen with me in public because of my symptoms.,"I am afraid that we will take up too much time at the mall due to my symptoms, but I know that my friend is there to ensure that I feel loved and supported.","I am frustrated that I have to deal with the hassle of my symptoms, but I am grateful that I am able to partake in the activities I enjoy.",I will lean on my friend if I am feeling anxious or embarrassed.,I will not care about what other people think in the presence of my symptoms.,I will not communicate with my friend and I will leave the mall.,I will take comfort in the presence of my friend and savor the time we have together at the mall to make memories. ,"I cannot predict how the twitching will progress, but I will still plan time to see my loved ones and lean on their unconditional support. "
Pre-symptomatic,,,Pool Day,"You are enjoying a warm summer day at the pool, and look around at the friends you are with. You wonder if you will be able to keep up with your friends in the future, or if your symptoms will eventually stop you from being able to have days with your friends like this one.",https://drive.google.com/file/d/1LboIw75icebEdj_2UF9AgWCDiQWhctRc/view?usp=drive_link,My friends and I will find other things to do if I'm not able to have pool days in the future.,My friends will enjoy spending time with me no matter what we do.,My friends won't want to spend the day with me anymore if I am not able to move as quickly or easily as them.,"Things will be different in the future, but my friends will be loyal.","At some point in the future, I may not be able to have days exactly like this, but I will find other things to do with my friends.",I am happy that I have great friends around.,I am excited to see what other things my friends and I do together in the future.,I am sad that I won't be able to keep up with my friends and their summer plans.,"I am upset about the fact that things are going to change, but also am looking forward to the new memories that my friends and I will make.","I am scared for the future and the possibility of not being able to do the things I love, but my friends will help me find new things to love.",I tell my friends that I am having a wonderful day with them.,I plan another pool day with my friends this summer.,I do not talk to my friends for the rest of the day.,"I watch my happy friends in the pool to distract myself from thinking about the future, even if it is hard.",I swim in the pool for hours and enjoy the day despite what the future may hold.
Pre-symptomatic,Mental Health,,Dinner Table With Family,"You are sitting at the dinner table with family, laughter and conversation filling the room. You can't help but feel a growing anxiety, wondering if the challenges ahead will one day overshadow these cherished moments and affect your mental well-being.",https://drive.google.com/file/d/19zj8kQE3XXrpp6iigU3SkD28eXoWaEHl/view?usp=sharing,"I can still enjoy this time with family, even if my symptoms cause more anxiety.",My family will support me even if I am more anxious and my symptoms worsen.,I will not be able to enjoy cherished family moments as my symptoms begin to get worse.,"Even if my symptoms get worse, my time with family will be enjoyable.","While I might present more symptoms, my family will not change how they treat me.",I am happy to have such a loving family to share my time with.,I am looking forward to making new memories with my family.,I am disheartened that spending time with my family will be harder in the future.,"I am anxious about how family dynamics might change in the future, but I'm grateful for the support of my loved ones.","I am frightened at the idea of time with my family changing, but I know my family will support me no matter what.",I will continue to plan dinners with my family.,I will tell my family how much fun I have spending time with them.,I will not spend as much time with my family.,"I will put energy into making good memories with my family, even if it is difficult.","I will plan activities with my family, even if I am unsure about what my future will look like."
Pre-symptomatic,Work/Career Development,,Meeting Preparation,"Your boss asks you to create a report for your upcoming meeting. Since your diagnosis, you have noticed that you may be working a little slower on the computer. You worry that your symptoms may get in the way of doing your job.",https://drive.google.com/file/d/1zoWe2s-URsgxJgx8KAz9dEI5_KsbGKju/view?usp=sharing,I am skilled and knowledgeable with the work I produce.,I am able to put together my thoughts for the report.,I am not good at my job because I work slower.,"Although I may work slower, I have adequate and thorough experience in the field.","Even if I take longer when I use my computer, I am diligent and can impress my boss.",I am optimistic about my symptom development because I can implement tools now that can help when my symptoms progress.,I am appreciative for all that my body has been able to do.,I am discouraged thinking about how my diagnosis will affect my work.,"Despite being disheartened with my struggles, I know that there will be days where it will be easier to work.","Even if I am scared of the progression of my symptoms, I know that I have resources around me to help.",I can still finish the report.,I can find resources that will help alleviate future symptoms.,I should delete all my work and tell my boss I am unable to work anymore.,"Since it may take me longer to work, I can ask my coworkers for assistance.","When I am feeling discouraged, I can take a break and come back with a fresh mindset."
Pre-symptomatic,Physical Health,,Family Hike,You are on a hike with your family when you notice that you are having trouble keeping pace with everyone else. You are worried that your physical health is declining and that your family will need to find new activities to accommodate you.,https://drive.google.com/file/d/1rbSXSvQEZgoJpah4ean7QYIluvn7O9Bn/view?usp=sharing,My family enjoys spending time with me and wants to make sure we can all enjoy our time together.,My slower pace allows me to take in the scenery and appreciate this time.,My family will not be able to do the things we used to enjoy together because of my physical health.,"Even if I can't go on hikes with my family, I can still find ways to bond with them.",My physical health does not change my ability to spend time with family.,I look forward to spending time with my family in the future.,I feel optimistic about my ability to continue doing physical activity with my family.,I feel worried that my family is uncomfortable accommodating for me.,"Even though I'm scared about my physical health, I know my family will be there to help me.","I am frustrated that I cannot keep up with my family, but I am grateful for the opportunity to explore outdoors.",I will find new hobbies to share with my family.,I will research other outdoor activities to try with my family.,I will spend more time alone and suggest that my family goes on hikes without me.,"Even if I can't partake in physical activities with my family, I will continue to spend time with my family.","Even though I want to continue going on hikes with my family, I will coordinate new activities to do with them."
