Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,PD scenario body,PD scenario body #2 (negation scenarios only),PD comprehension question,PD correct response,PD incorrect response,PD photo link,Letters Missing,Occurrence
Physical Health,,,Appointment with the doctor,"You have been feeling a little sick lately, so you schedule a doctor's appointment. The soonest appointment you can get is a few days away. While you wait for your doctor's appointment, you think your sickness is probably temporary.",N/A,Do you think you are going to feel better soon?,Yes,,https://drive.google.com/file/d/1CQEIRtnYHCuBwFTBYxYsWkQ1QKjVjIIJ/view?usp=sharing,1,2
Physical Health,,,Time to sleep,"You are lying in your bed, about to go to sleep. As everything quiets down, you begin to breathe slower than you usually do. This is relaxing.",N/A,The slowing of your heart rate and breathing probably means ...,Your body needs rest after a long day of work.,You are not getting enough oxygen and will pass out.,https://drive.google.com/file/d/1GciXsHlPyobvmEXy0TGbJk0MTPGBdpWE/view?usp=sharing,1,1
Physical Health,,,Dinner Party Supplies,"You are co-hosting a dinner party at your friend's apartment, and you just finished all the shopping. You start to sweat and feel your heart pounding after a couple of trips carrying the groceries up to the third floor. You feel a bit scared of these sensations. Unsure of whether they are good or bad, you decide to simply accept them.",N/A,Could you accept your racing heart as neither good nor bad?,Yes,No,https://drive.google.com/file/d/1QevesjiyIZoUiGS00ScGoNoxtScdTp8W/view?usp=sharing,1,1
Physical Health,Mental Health,,Hot Day ,"Returning home on a very hot day, you quickly drink a large glass of water. You soon feel abnormally full and a bit sick to your stomach. This feeling is surprising and uncomfortable, but you realize that it is something you can simply observe.",N/A,You responded to the feelings of sickness in your stomach by ...,Observing the sensations without doing anything.,Panicking about the sensations and calling an ambulance.,https://drive.google.com/file/d/1zIU7R9B0aDdb2iU_AHp4YbObnLDAts0M/view?usp=sharing,1,1
Physical Health,,,Appointment with the doctor,"You have been feeling a little sick lately, so you schedule a doctor's appointment. The soonest appointment you can get is a few days away. While you wait for your doctor's appointment, you think your sickness is probably serious.",N/A,Do you think you are going to feel better soon?,No,,https://drive.google.com/file/d/1CQEIRtnYHCuBwFTBYxYsWkQ1QKjVjIIJ/view?usp=sharing,1,2
Physical Health,,,First time skydiving,"You are taking a skydiving lesson. When you think about jumping out of the airplane, your body begins to tremble. This is exhilarating.",N/A,Are you feeling excited?,Yes,,https://drive.google.com/file/d/1jsDqBgpjjv3U7WRb6PJBRv1QYy5LFlHi/view?usp=sharing,1,1
Physical Health,,,Health evaluation,"At your routine doctor's appointment, your doctor decides to run a few tests to evaluate your health. They tell you that they will get you your results within a week. While you wait for your results, you think you are likely healthy.",N/A,You think that your results will reveal that ...,You are healthy.,Something is seriously wrong with your health.,https://drive.google.com/file/d/1WUA_iuY9HxHRZBVvI8Hq39NskzbzC-0e/view?usp=sharing,1,1
Physical Health,,,A scratchy throat,"Getting up this morning, you notice that your throat is scratchier than it usually is. You think about why this may be. You decide it is probably because you are thirsty.",N/A,Will drinking some water make your throat feel better?,Yes,,https://drive.google.com/file/d/118UoiMp2MPYeDFHJgRZF-D2-TtLE53Ov/view?usp=sharing,1,1
Physical Health,Mental Health,,Blood test results,"At your last doctor's appointment, your doctor took a few blood tests. Your doctor told you that they will get you your results in a few days, and you feel nervous as you wait for them. You think your nervousness is manageable.",N/A,Is it unbearable to be nervous as you wait for your test results?,No,,https://drive.google.com/file/d/1op21VnIDCX_kpphMiw4zXhVcpVx_Znwn/view?usp=sharing,1,1
Physical Health,,,Finger cut,"You accidentally cut your finger slightly while cooking. You promptly clean the cut and put on a bandage. Later that evening, the cut hurts a little bit, and you think that it is likely healing.",N/A,Is your finger seriously infected?,No,,https://drive.google.com/file/d/1nOyp1h4xXHZTxnQALqhJ08E4YeNJ6C6p/view?usp=sharing,1,1
Physical Health,,,Weekend horseback riding,"You are at an amusement park on the weekend with friends. They all go to the highest ride in the park and you are assigned to sit in the front. Soon, the ride starts and you feel excited. ",N/A,Is it fun to go on a new roller coaster?,Yes,No,https://drive.google.com/file/d/1gp4EB_H5pnsJTvhJfzP4qEeoWkq9bVqP/view?usp=sharing,1,1
Physical Health,Social Situations,,Out on a boat,"You spend the day on a boat with your friends. When you get off the boat, your legs feel strange and you have trouble walking. This sensation is amusing.",N/A,The feeling in your legs is probably ...,Temporary and nothing you should be worried about.,Something you should be worried about.,https://drive.google.com/file/d/1NC-kP-pSY9wJdrgbZnKbNcCzbSV962qB/view?usp=sharing,1,1
Physical Health,Mental Health,,Cardio with friend,"It's Wednesday night and you and your friend go on a walk. About halfway through you stop walking, because you feel you can't catch your breath. ","As you begin to have anxious thoughts about passing out, you decide to simply notice them.","When feeling like you can't catch your breath, it is helpful to ...",Just observe your anxious thoughts and sensations without judgment.,Judge your breathlessness as bad or harmful.,https://drive.google.com/file/d/1NSO7N_Z0URyfoxzX6zx-mGTqarIZ4txv/view?usp=drive_link,1,1
Physical Health,Mental Health,,Difficult walk,"It's Sunday morning and you are taking a walk in the park. After some time, you feel out of breath and decide to break for a minute at a bench. Gasping for breath makes you feel anxious, and you want to stop walking. ","You decide that these sensations are tolerable, and you resume.",Did you keep on walking despite feeling anxious?,Yes,No,https://drive.google.com/file/d/195_pjBbbFbLfAzk7D93H5jJRL5zh_OeF/view?usp=drive_link,1,1
Physical Health,,,Sports game cheers,"You are at a sports game. The crowd is cheering loudly for your team, and your head is pounding. You feel worried.",N/A,Are you worried that the pounding in your head signifies something serious?,Yes,,https://drive.google.com/file/d/1BxmUUVgj2Iau_pHkovTQetlDHezR_Wkp/view?usp=sharing,1,2
Physical Health,,,Disease test,"At your routine doctor’s appointment, you are asked to take a test for a disease. After the test, you wait for your results in the waiting room for a long time. You think the chances that you have the disease are minimal. ",N/A,Do you think the test results will say you have the disease?,No,,https://drive.google.com/file/d/1mtIOu31sfSD7VQLjrcgYMpLTPYt_4eFO/view?usp=sharing,1,1
Physical Health,,,Hot surface burn,"While making dinner, you accidentally touch a very hot pan. You quickly put your finger under cold water and can already see your skin turning red. After a few minutes, you think the burn is minor.",N/A,"After running water over your finger, your burn will probably ...",Hurt much less.,Remain very painful.,https://drive.google.com/file/d/1G2YWXv0p1YZmB6Gsfe2dO0xdWf6LUeVB/view?usp=sharing,1,1
Physical Health,,,Sports game cheers,"You are at a sports game. The crowd is cheering loudly for your team, and your head is pounding. You feel thrilled.",N/A,Are you worried that the pounding in your head signifies something serious?,No,,https://drive.google.com/file/d/1BxmUUVgj2Iau_pHkovTQetlDHezR_Wkp/view?usp=sharing,1,2
Physical Health,,,Flashing movie,You are watching a movie in a theater. There are many quick-paced camera shots that make you feel dizzy. This sensation is funny.,N/A,Is it distressing when you feel dizzy?,No,,https://drive.google.com/file/d/1SjRDhO4HJ_WO82IWqrR9SG8vahCwKzNn/view?usp=sharing,1,1
Physical Health,,,Checks at the dentist,"You have a routine dentist appointment and find out that you need some tests to check the health of your gums and teeth. After the dentist performs the tests, you lie in the dentist chair alone for a while, waiting for the results. You think your teeth and gums are probably healthy.",N/A,Do you think you have gum disease?,No,,https://drive.google.com/file/d/1PUQshZgNL6tX5cS4aP636BXA9VNXNVpq/view?usp=sharing,1,1
Physical Health,,,A birthday cake,"Your friend buys you a cake for your birthday. When they bring it over in the evening, they note that they have recently gotten over being ill. Holding the cake, you think your chances of becoming sick are minimal.",N/A,"If you eat the cake, you will probably ...",Not get sick. ,Get sick. ,https://drive.google.com/file/d/1HQHBTRpNUNY2kQ0B3sOzw3AIKiQ5XsJl/view?usp=sharing,1,1
Physical Health,,,Carnival ride,"You go on a ride at a carnival. When you get off, you feel dizzy. You are delighted.",N/A,Do you find it fun to feel dizzy after carnival rides?,Yes,No,https://drive.google.com/file/d/1G1sHiVYDnKlOh6uW2-ZdFkqpUQkZOV0x/view?usp=sharing,1,1
Physical Health,,,Walking Trail,"You are on a weekend walking trip with a friend. When you reach a slight incline, you start to breathe heavily. You are scared about what this could mean for your health, especially given that you are out in the wilderness. ","You take a few deep breaths. Paying attention to what it feels like to breathe in and out helps to focus your mind, and you decide to continue.",Are you able to manage your anxiety by observing your breathing?,Yes,No,https://drive.google.com/file/d/1c6ET3nowvSsYvkQarueJoQxQeStMOq--/view?usp=sharing,1,1
Physical Health,,,Sudden noise,"You are walking to work when you hear a sudden noise behind you. When you quickly turn your head to see what it is, a feeling of dizziness hits you, and you begin to worry you will lose control. ","Noticing these thoughts, you decide that you will be able to cope, and so you keep walking.",Did you let worries get in the way of you getting to work?,No,Yes,https://drive.google.com/file/d/1EYgCsAXuhxtIYuCSSWKugZP_JiM8jjqz/view?usp=sharing,1,1
Physical Health,,,Write Your Own,,,,,,,1,8
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,write your own,0
,,,,,,,,,,write your own,0
,,,,,,,,,,write your own,0
Romantic Relationships,Mental Health,,Relationship Struggles,"You have been with your partner for a while, and you are still very into them. Recently, your partner hasn't expressed much adoration towards you, and you wonder if they still love you as much as you love them. You think that they are no longer into you. ",N/A,Does your partner still love you?,No ,Yes,https://drive.google.com/file/d/1VIJYeImFMUm7Aaacnct7HyxaOYy72Mq6/view?usp=sharing,1,1
Romantic Relationships,,,Advice for a friend,"You spend an evening with a friend and end up talking about their relationship problems. As you give them some advice, you notice they are quiet. Once you get home later, you reflect on the evening and think that they found your advice helpful.",N/A,Did your friend think you gave them good advice about relationships?,Yes,No,https://drive.google.com/file/d/16B6D0IDuHuixxTYqmvYLjeLuAh-_nWS0/view?usp=sharing,1,1
Romantic Relationships,,,New meetup ,"You arrange to meet your new coworker at 8 p.m. at a local bar. You arrive on time and find that your new coworker is not there yet. Reflecting on your last conversation as you wait for a table, you remember that they found your life interesting.",N/A,Was your coworker interested in your life after your last conversation?,Yes,No,https://drive.google.com/file/d/1Mkolvpncrqbbodcp7p_QFyahwUrAabfA/view?usp=sharing,1,1
Romantic Relationships,,,Anticipating a date,"You and your partner plan a date night to reconnect, as you haven't been spending quality time together recently. As the evening approaches, you are nervous that you won't have as much fun as you used to or that the spark may have faded. Thinking about how your relationship has changed, you find contentment in the deep connection and companionship that have grown over time.",NA,Are you content with how your relationship has changed?,Yes,No,https://drive.google.com/file/d/1FccvJOxJ1IrfcxS0GzHIlNxNV5GiBH3P/view?usp=sharing,1,1
Romantic Relationships,Mental Health,,Special Day,"You have a dinner scheduled with someone you have wanted to hang out with for a while. On the day of the dinner, you feel a little nervous, as you wonder whether they will like you as much as you like your them. Feeling nervous is normal.",N/A,You probably feel nervous because ...,You haven't hung out with this person before.,You are unlikeable.,https://drive.google.com/file/d/1Yyi1e6BqxjDWtVu76Gq09Tb21smvhClb/view?usp=sharing,1,1
Romantic Relationships,,,A Delayed Response,"You texted your partner several hours ago. They haven't responded to it yet, even though they usually respond right away, and their read receipts are on.  You think that they probably forgot to reply. ",N/A,Is your partner mad at you?,No,Yes,https://drive.google.com/file/d/12j4LNcx3F1nnwTOsPVTvLrQGtgg6c-Me/view?usp=sharing,1,1
Romantic Relationships,Mental Health,,How You Look,You are going on a date with your spouse. You look in the mirror before you leave and you wonder if they will like your look. You realize that the only opinion that matters about your appearance is yours. ,N/A,Does it matter if your spouse likes your look?,No ,Yes,https://drive.google.com/file/d/1FccvJOxJ1IrfcxS0GzHIlNxNV5GiBH3P/view?usp=sharing,1,1
Romantic Relationships,,,Going on a Date,"You are going on a date tonight. You don't know the person well and you know there will be some silences in the conversation. Even though it might be awkward, you know you'll have fun.",N/A,Are you able to cope with awkward silences?,Yes,No,https://drive.google.com/file/d/1_3R4q50xu1yCQG9gAsv0N7Y30gmNDBsG/view?usp=sharing,1,1
Romantic Relationships,Mental Health,,Anticipating a Response,"You and your partner have different spending habits, which leads to frequent arguments and financial tension. This tension has started to impact your relationship, and you feel like you are growing resentful of one another. If you share how you're feeling, it might lead to more arguments.","You decide to open up and share, and they do the same. As you talk, you feel understood.",Did sharing how you feel lead to more arguments?,No,Yes,https://drive.google.com/file/d/1g-liY9kNWt9BMQ9drA6NwUGLBSjwk6Nn/view?usp=sharing,1,1
Romantic Relationships,,,Blind Date,"You are going on a blind date and just arrived at the restaurant. As you walk up to the entrance, you suddenly feel very nervous and turn around to leave, but quickly change your mind. At this moment, your date arrives and looks very offended.","At the end of the date, you realize that it is very common to feel a little uneasy in situations like these. Having explained and apologized, you believe that your date found your hesitation funny and endearing.",Your date's impression of you is probably ...,Positive,Negative.,https://drive.google.com/file/d/11_Qmki0qgGKl7UUkuuAVjbH9UzmfX-qA/view?usp=sharing,1,1
Romantic Relationships,,,Asking Out Your Friend,"You have been good friends with someone for a few years, and really value your relationship. You are very attracted to your friend, but are unsure how admitting your feelings would affect your friendship. If you were to ask your friend on a date you think your friend would find it weird",,"You think if you were to ask your friend on a date, your friend would probably",Stop returning your calls.,Ask if you want to make plans for next week.,https://drive.google.com/file/d/1ge0uSpMcmvzD_Cpmw8O9XZDxmWjnwoVr/view?usp=sharing,1,3
Romantic Relationships,,,Attractive Appraisal,"You meet an attractive person your age and they ask for your social media. You notice they added you, and now they can see that you don't have many followers. They will think that this is typical.",,Does this person your age think you're weird for having only a few followers? ,No,Yes,https://drive.google.com/file/d/1PzgfiFfMO18oSYFjyNqTvhmVruCUAL7O/view?usp=sharing,1,1
Romantic Relationships,Social Situations,,Anniversary Let-Down,"Your anniversary with your significant other is this weekend, but they haven't mentioned to you that they made any big plans. Having your expectations let down seems to be a recurring event, and you think it's time to bring it up to them. You figure out a way to bring it up calmly, without starting a fight. ",N/A,Do you expect your conversation with your significant other to end in a fight? ,No,Yes,https://drive.google.com/file/d/1qTHESHjLrkqI-qXAdiuqsn_ps2XVA-kP/view?usp=drive_link,1,1
Romantic Relationships,Mental Health,,Comparing Yourself to Others,"Recently, your partner mentioned that they find a certain celebrity attractive. This celebrity looks nothing like you, and you wonder if your partner has changed their preferences since the beginning of your relationship. You think that they still find you attractive.  ",N/A,Is your partner attracted to you?,Yes,No,https://drive.google.com/file/d/1mWipNL9deH6mK7RLleXJM-RUIwSbC-IZ/view?usp=drive_link,1,1
Romantic Relationships,,,Busy Period,"With the business of the semester, you and your long-term partner have not been spending a lot of time together. When you do hang out, you and your partner seem distracted and tend to bicker. You think that this is just a rough patch, and that your relationship will last. ",N/A,Will you break up?,No,Yes,https://drive.google.com/file/d/1MGv1O1rLHyY4xqhj3vny7PTUtYTtHIVb/view?usp=sharing,1,1
Romantic Relationships,,,Argument with Your Partner,"You recently had a fight with your partner. It was about a serious issue, and you are concerned as to why your partner didn't agree with you. You think that you and your partner will eventually make up.  ",N/A,Is this fight a dealbreaker?,No ,Yes,https://drive.google.com/file/d/1g5l905rSslaK-uHj6vY5LZpSy42h1tjN/view?usp=sharing,1,1
Romantic Relationships,,,Asking Out Your Friend,"You have been good friends with someone for a few years, and really value your relationship. You are very attracted to your friend, but are unsure how admitting your feelings would affect your friendship. If you were to ask your friend on a date you think your friend would find it complimentary",,"If you ask your friend on a date, it will probably",Make your friend feel good.,Put your friend in an awkward position.,https://drive.google.com/file/d/1ge0uSpMcmvzD_Cpmw8O9XZDxmWjnwoVr/view?usp=sharing,1,3
Romantic Relationships,,,Texting Your Crush,"You have been hanging out with a cute coworker a lot lately, but aren't sure if your attraction is reciprocated. Today your coworker asks for your number. Your coworker will probably use your phone number to ask you on a date",,Your coworker probably asked for your phone number because,Your coworker thinks you are attractive.,Your coworker wants you to do more work.,https://drive.google.com/file/d/1WuPmRt-VoQfR_ZkT1nzIhMKeljNVUJMz/view?usp=sharing,1,3
Romantic Relationships,Mental Health,,Putting Yourself Out There,"You and your significant other have been caught up on your own responsibilities recently, and you feel as though you're drifting apart. You decide to plan a dinner date with them, to spend some quality time just the two of you. At dinner, you feel as though you're starting all of the conversations, and your partner seems uninterested. ","You decide to share how you're feeling with them, and they tell you they've just been tired from work and home responsibilities, and didn't realize how much it was affecting your relationship. You feel relieved.  ",Is your relationship okay?,Yes,No,https://drive.google.com/file/d/175t4xW0IN99gRfCfKY3yXEMDERREEH5-/view?usp=sharing,1,1
Romantic Relationships,Mental Health,,Friends in Relationships,"Your friends are all in relationships. You are not currently in a relationship, and you wonder if there is something wrong with you. You think that you are undesirable. ","After a while, you realize that it is very normal to not be in a relationship. You think that you enjoy being single, and the right person will come along when you are ready.  ",Are you capable of being in a relationship?,Yes,No,https://drive.google.com/file/d/1u-_r0tB9RIGlIUC3K6ifS1cUbgd25kEk/view?usp=sharing,1,1
Romantic Relationships,,,Texting Your Crush,"You have been hanging out with a cute coworker a lot lately, but aren't sure if your attraction is reciprocated. Today your coworker asks for your number. Your coworker will probably use your phone number to ask you about work",,You are likely to get a text from your coworker that,Asks you to pick up a shift.,Asks you to go out for coffee.,https://drive.google.com/file/d/1WuPmRt-VoQfR_ZkT1nzIhMKeljNVUJMz/view?usp=sharing,1,3
Romantic Relationships,,,Dating a Stranger ,"You are getting ready to go on a first date with someone you haven't previously met in person. You believe you two have a lot in common, but you are worried that sometimes you become very shy when you are nervous. As you think about going on your first date you do not think that you will make a bad impression, and you believe that your date will think you are interesting.",,Your date will probably notice,How much you two enjoy the same hobbies.,How little you have to say.,https://drive.google.com/file/d/1OqGmVImRpdqbNcBelAsODrEYrVb-M9l3/view?usp=sharing,1,1
Romantic Relationships,,,Asking Someone Out ,"You are on a long train ride, and really hit it off with an attractive person sitting next to you. As the train ride nears an end, you think about how you would really like to see this person again, but you worry that you might come off as being too forward. When you consider asking the other passenger out for coffee, you are fairly sure this person will accept.",,"If you ask the other person to coffee, the other passenger will probably","Accept your offer, because you two had a great time on the train.","Turn you down, because they're not interested in seeing you again.",https://drive.google.com/file/d/15srXsAeVJClkXGw605dER3-IGHMQBtlr/view?usp=sharing,1,1
Romantic Relationships,,,Online Dating,"Your friend has convinced you to sign up on an online dating website. You look over your profile and though you think it reflects who you are very well, you worry if it displays the kind of qualities people are looking for online.  Thinking about your prospects of finding someone online, you believe that your chances of meeting someone soon are high.",,You think that people on the site will probably,Respond well to your profile.,Completely ignore you.,https://drive.google.com/file/d/1WsJNbwRJFWHCFhcRml0G0WDuwYREb7eQ/view?usp=sharing,1,1
Romantic Relationships,,,Long-Term Relationship,"Your significant other, whom you have been dating for a few years, wants to talk about where your relationship is going. This is the first time you have dated someone for such a long time. You see your relationship growing stronger.",,"When you think about your current relationship, you think that it will probably:",Develop into something even more meaningful to you.,End like all the rest have.,https://drive.google.com/file/d/14E87lNQCbYQYaw2WEZUgqpLVllxzh0qo/view?usp=sharing,1,1
Romantic Relationships,,,Stress in Your Relationship,"You are planning your wedding with your fiancé. Planning your wedding has sometimes put stress on your relationship, and you and your fiancé have had a few arguments during the process. Once the wedding is over after everything that has happened, you think you and your spouse will feel close again.",,"After the wedding, you and your spouse are likely to","Feel a lot less stressed, and see eye-to-eye more.","Keep fighting, straining your relationship. ",https://drive.google.com/file/d/12we_hPc3VBlERJpy5lceauE4EbnAmMSA/view?usp=sharing,1,1
Romantic Relationships,,,Yourself in Old Age ,"You are walking through the park, and you see an elderly couple walking hand in hand. You begin thinking about your own life and imagine yourself at their age. When you think about yourself as an older person, you imagine yourself in a relationship.",,You see your older self,With a loving partner.,Lonely without a significant other.,https://drive.google.com/file/d/1rfdNbyue77FhReHqNOVYVUC1cUTvMa-9/view?usp=sharing,1,1
Romantic Relationships,,,Marrying Your Partner,"Your significant other of four years has recently asked how you feel about marriage. You feel very much in love with your significant other, but worry about the high rates of divorce and whether that could happen to you. Reflecting on the idea of marrying your partner, you believe your marriage would make it.",,The likelihood that your marriage would last is:,High,Low,https://drive.google.com/file/d/11jxogFxkqEeS7Kqe9yWTU0EV_JBtB-v4/view?usp=sharing,1,1
Romantic Relationships,,,Asking Out Your Friend,"You have been good friends with someone for a few years, and really value your relationship. You are very attracted to your friend, but are unsure how admitting your feelings would affect your friendship. ","If you were to ask your friend on a date, it would not be awkward, and you think your friend would find it flattering",Will your friend be flattered by your invitation for a date?,Yes,No ,https://drive.google.com/file/d/1ge0uSpMcmvzD_Cpmw8O9XZDxmWjnwoVr/view?usp=sharing,1,3
Romantic Relationships,,,Texting Your Crush,"You have been hanging out with a cute coworker a lot lately, but aren't sure if your attraction is reciprocated. Today your coworker asks for your number.",Your coworker doesn't seem to be asking for work reasons and will probably use your phone number to ask you out,Does your coworker want to ask you out on a date?,Yes,No,https://drive.google.com/file/d/1WuPmRt-VoQfR_ZkT1nzIhMKeljNVUJMz/view?usp=sharing,1,3
Romantic Relationships,,,Write Your Own,,,,,,,2,8
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,write your own,0
,,,,,,,,,,write your own,0
,,,,,,,,,,write your own,0
Social Situations,,,Theater group thoughts,"You are on the committee for a local community theater, which is planning a new productions. At the first meeting, the director asks you for ideas about which play to perform. Everybody pauses after you say your ideas, and you think the others find your thoughts boring. ",N/A,Everyone probably believes ...,You have terrible ideas.,You have innovative ideas.,https://drive.google.com/file/d/1LReBi4l_MLl7STd2g4biqxzTxAx9bA4a/view?usp=sharing,1,2
Social Situations,Work/Career Development,,Fundraiser Presentation,"You are put in charge of your office's fundraising efforts and quickly realize that your coworkers are not very interested in the fundraising. At a meeting, you give a presentation about the importance of helping with the fundraising, during which your coworkers remain quiet. As you sit down after your presentation, you think they seemed excited.",N/A,The coworkers are probably thinking ...,That they want to help you with the fundraiser.  ,That they don't want to help you with the fundraiser.  ,https://drive.google.com/file/d/1r3qtHj-urHxM3pju6-ipIBlJU-tXgwex/view?usp=sharing,1,1
Social Situations,,,Spotting a friend,"As you are walking down a crowded street, you see your coworker on the other side. You call out, but they do not answer you. Standing there in the street, you think that this must be because they were distracted.",N/A,Did your coworker purposely ignore your call to them in the street?,No,Yes,https://drive.google.com/file/d/1ed7CaenQ9rbkqDg31nHg13-TRsdjeflf/view?usp=sharing,1,1
Social Situations,,,A big laugh,"At a dinner party, your friend tells a funny joke. You laugh so much that it feels like you can't get enough air. This experience is enjoyable. ",N/A,Is it fun to laugh really hard?,Yes,No,https://drive.google.com/file/d/1ROKk7mE-G6EUNhfR7a4vAXrr6UQFpbXw/view?usp=sharing,1,1
Social Situations,,,A welcome greeting,"It's the weekend and you are in town. You see a friend you haven't seen in ages. Your friend gives you a big hug, and you feel smothered. This feeling is nice.",N/A,"While hugging your friend, you feel ...",Missed and loved.,Like you can't catch your breath.,https://drive.google.com/file/d/1aYVo11BbHjCNVlQCgjgs7aqhzmTaikXj/view?usp=sharing,1,1
Social Situations,,,Theater group thoughts,"You are on the committee for a local community theater, which is planning a new productions. At the first meeting, the director asks you for ideas about which play to perform. Everybody pauses after you say your ideas, and you think the others find your thoughts interesting. ",N/A,Everyone probably believes ...,You have innovative ideas.,You have terrible ideas. ,https://drive.google.com/file/d/1LReBi4l_MLl7STd2g4biqxzTxAx9bA4a/view?usp=sharing,1,2
Social Situations,,,Entering a nightclub,"You are out of town visiting friends and decide to go out dancing. Walking into a nightclub for the first time, you feel that the things around you are very unreal. This is interesting.",N/A,The lights and sounds of the club make you feel ...,Excited and lively.,Disoriented and scared.,https://drive.google.com/file/d/1gTUlz1D2Dwpj9xB2ihIEsUZXzfXYzERs/view?usp=sharing,1,1
Social Situations,,,A new camera,"You buy a new camera, but when you get home, you find that you do not like it. You return it to the store and get your money back. At the counter, the assistant is not very talkative as they help you, and you think they view you as rational.",N/A,Do you think the sales assistant felt you were annoying?,No,Yes,https://drive.google.com/file/d/1gIc6npFIezWPuRAQClkBHg3K5HpAwDTk/view?usp=sharing,1,2
Social Situations,,,Controversial news story,"You are having a conversation with a coworker about a recent controversial story in the news. You voice your opinion on the matter, and your coworker looks surprised and strongly disagrees.","At the end of the conversation, you realize that although the discussion was heated, your coworker probably thinks that you both have strong convictions. You have earned your coworker's respect.","The next time you meet, your coworker will most likely ...",Start up a conversation.,Avoid speaking with you. ,https://drive.google.com/file/d/1WhBEvVG2zKE6RE_RLPbh8jfuPj-DLb3e/view?usp=sharing,1,1
Social Situations,,,Social media photo,You are invited to an event and decide to wear a new outfit that is not your typical style. The next day you see that your photograph has been posted on a social media website. The thought of everyone seeing your photo makes you feel embarrassed. ,"In the end, you realize that many people feel embarrassed when seeing their own picture in public. Other people will probably enjoy seeing your photo on the social media website.",Are you looking forward to others seeing your picture on the website?,Yes,No,https://drive.google.com/file/d/1sVKizgA3QnMOtyy7qNs8X9ndbUMsWmuE/view?usp=sharing,1,1
