Broad Domain 1,Broad Domain 2,Broad Domain 3,Hoos TC Title,Spanish scenario body,Spanish scenario body #2,Spanish comprehension question,Spanish correct response,Spanish incorrect response,Old Spanish photo link,New Spanish photo link,Letters Missing
Salud Mental,Académicos/Trabajo/Desarrollo Profesional,,Estar a cargo,"Recientemente fuiste elegido para estar a cargo de un grupo de personas nuevas en tu trabajo. Cuando conoces a otras personas a cargo de grupos, sientes que no trabajaste tan duro como ellos y que no mereces este puesto. Te tomas un minuto para pensar en lo que das a tu trabajo y te das cuenta de que has estado dando todo lo que has podido, y la gente definitivamente se dio cuenta de esto.",,¿Sientes que mereces tu puesto en tu trabajo?,Si,,https://drive.google.com/file/d/1cCdFnGwW1dNBLOO7cPWVry3DULHFtlcc/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/elected.jpg,all
Salud Mental,Situaciones Sociales,,Compartiendo programas favoritos,"Estás hablando con un grupo de compañeros de trabajo sobre programas de televisión. Cuando dices lo que te gusta de un viejo programa que acabas de descubrir, nadie responde. Probablemente piensan que eres raro.",N/A,¿Tus compañeros de trabajo te juzgan por lo que dijiste sobre el programa de televisión?,Si,,https://drive.google.com/file/d/1opDxSogFwDYpEb5PGw4jTADE96Y2WtG7/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/opinions.png,all
Salud Mental,Vida Familiar y Doméstica,,Atascado en el medio,"Estás en casa leyendo un libro cuando escuchas a miembros de tu hogar peleando. Te preguntas por qué se están gritando el uno al otro, y luego uno de ellos dice tu nombre. Te das cuenta de que la razón por la que están discutiendo probablemente no sea tu culpa. ",,¿Es tu culpa que estén peleando?,No,,https://drive.google.com/file/d/1ftgcSnzMhpFI41H8c5OD_1qoWZWEzBP2/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/argument.jpg,all
Salud Mental,Situaciones Sociales,,Recuerdo conduciendo,"Estás manejando a la casa de un amigo en el pueblo donde vivías antes. Cuando llegas a la entrada, tienes un fuerte recuerdo de cuando solías visitar esta casa hace muchos años. Empiezas a sentir ansiedad por sentirte desorientado, y decides que lo que harás con estos sentimientos es simplemente dejarlos pasar.",N/A,"Cuando te sientes desorientado, es útil...",Simplemente observar y aceptar los sentimientos.,Ponerte ansioso por sentirte desorientado.,https://drive.google.com/file/d/111tmTqhti30waD2ToHBnhDXMWZr6Fiv3/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/flashback.jpg,all
Salud Mental,Académicos/Trabajo/Desarrollo Profesional,,Enseñando a otros,"Has sido seleccionado para dirigir una clase de capacitación para nuevos empleados. El líder anterior era muy querido y te preocupa no poder estar a la altura de las expectativas de los demás sobre el curso. Recuerdas que conoces bien el material y cuando piensas en liderar el curso, tienes esperanzas.",N/A,¿Dirigirás bien el curso?,Si,,https://drive.google.com/file/d/1C5L6fKZvsuJRuh2QnDj4U7_d1_Djs1Rr/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/tutoring.jpg,all
Salud Mental,Situaciones Sociales,,Fiesta con amigos,Estás en una fiesta con algunos amigos y algunos de ellos están haciendo cosas con las que no te sientes cómodo. Decides no participar. Tus amigos piensan que eres normal.,,¿Tus amigos piensan que no eres genial por no participar?,No,,https://drive.google.com/file/d/1ooVd4XP2M8uvAgD3jqy3SN9TjXcZXBCO/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/friends_2.jpg,all
Salud Mental,,,Confiar en ti mismo,"Estás trabajando en un proyecto con algunos compañeros de trabajo. Le das una idea al grupo, y alguien se ríe y dice que no es buena. Mientras trabajas en el proyecto, piensas que eres inteligente. ",,¿Crees que eres tonto porque cometiste un error?,No,,https://drive.google.com/file/d/1luHbcPLj4BFquei2XFd_e4PgL9z8fBaB/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/colleagues.jpg,all
Salud Mental,,,Write Your Own,,,,,,,,write your own
Salud Mental,,,Write Your Own,,,,,,,,write your own
Salud Mental,,,Write Your Own,,,,,,,,write your own
Salud Mental,,,Nuevo atuendo,"Te pones un traje nuevo por la mañana antes de partir por el día. A mitad del día, notas que te sientes un poco diferente con este nuevo conjunto. Te encanta este sentimiento y estás feliz de haber elegido usar el atuendo.",,¿Estás contento con el nuevo atuendo que elegiste?,Si,,https://drive.google.com/file/d/1Tj_Fffv-Mc7x6_jQoPut_j9SUCcoydah/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/newoutfit.jpg,1
Salud Mental,Académicos/Trabajo/Desarrollo Profesional,,Despertándote listo,"Cuando estás terminando un proyecto a medianoche, te das cuenta de que todavía te quedan un par de tareas. Planeas levantarte un poco temprano para terminarlas antes de la fecha límite importante a las 9 a.m. Mientras pones la alarma y piensas en tu plan, tienes confianza.",,¿Estás ancioso sobre tu plan de terminar tus tareas en la mañana?,No,,https://drive.google.com/file/d/1C9qzCVMZ7rrXL8Njc7rKFEyQWGercs6i/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/late.png,1
Salud Mental,Académicos/Trabajo/Desarrollo Profesional,,No sentirte preparado,"En el trabajo, tu jefe les pide a todos que levanten la mano si han oído hablar de una técnica de trabajo. Cuando miras a tu alrededor, notas que la mayoría de tus compañeros de trabajo tienen la mano levantada, pero tú no. Esto te hace sentir como si no estuvieras preparado para hacer el trabajo.",N/A,¿Tus compañeros están más prepaados que ti?,Si,,https://drive.google.com/file/d/143F_jObaBvG1l77hgZir8HruiOBT9qcV/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/handraised.jpg,1
Salud Mental,Situaciones Sociales,,Probando un dicho divertido,Estás intentando pensar en un cierre para un correo que enviarás a tus compañeros de trabajo. Se te ocurre un chiste que a tus amigos más cercanos les encantará. Tus compañeros de trabajo lo encontrarán gracioso.,N/A,¿Te preocupa lo que pensarán tus compañeros acerca de tu chiste?,No,,https://drive.google.com/file/d/1828HR7oyHuDJpNFSn5JmLlYAZ24vA7x7/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/commenting.jpg,1
Salud Mental,,,Práctica de presentación,"Tienes una gran presentación. Temes no poder presentarla con precisión, entonces dedicas unas horas en el fin de semana para practicar. Le pides a tu amigo que venga a tu casa a ver tu presentación para recibir comentarios. Cuando terminas, tu amigo te dice que hiciste un muy buen trabajo y que te va a ir bien delante de otro grupo. ",N/A,¿Crees que estás bien preparado?,Si,,https://drive.google.com/file/d/1VHq_c_pitRRiOT_VNDOFpOt_UvMiKJgv/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/goodjob.jpg,1
Salud Mental,Salud Física,,Nadando vueltas,Es domingo por la mañana y estás nadando en la piscina. Después de un par de vueltas te quedas sin aliento y decides descansar un minuto al final del carril. Respirar con dificultad te hace sentir ansioso y quieres parar de nadar.,"Decides que puedes tolerar estas sensaciones, y sigues nadando.",¿Seguiste haciendo ejercicio a pesar de sentirte ansioso?,Si,,https://drive.google.com/file/d/1VALnSYTdN8clzOrVZO4oEh1vWMUO7WgK/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/pool.jpg,1
Salud Mental,Relaciones Románticas,,Comparándote con otros,"Recientemente, tu pareja mencionó que encuentran atractiva a cierta celebridad. Esta celebridad no se parece en nada a ti, y te preguntas si tu pareja ha cambiado sus preferencias desde el comienzo de su relación. Piensas que aún se sienten atraída a ti.",N/A,¿Tu pareja se siente atraída a ti?,Si,No,https://drive.google.com/file/d/1qYR_sw_sAKU_sUueHbH0iJ5hWVTrmZeX/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/celebrity.jpg,1
Salud Mental,Académicos/Trabajo/Desarrollo Profesional,,Resultados de la evaluación,El tiempo para las evaluaciones del trabajo acaba de cerrar y no estás seguro de si saliste bien o no. Te sientes nervioso al pensar en cómo te calificaron otras personas. Piensas que estar nervioso es manejable.,N/A,¿Puedes tolerar tus nervios mientras esperas saber tus resultados?,Si,,https://drive.google.com/file/d/1wsTsWXkjfok0Sn3yNthn2D51nUUgPfAo/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/report_1.jpg,1
Salud Mental,,,Sensación de noche,"Es media noche y te despiertas abruptamente. Cuando te sientas, te sientes raro, como si tu mente no estuviera funcionando correctamente y empiezas a pensar que podrías estar volviéndote loco. Este pensamiento te asusta y, mientras te arrecuestas, decides que simplemente lo observarás.",N/A,¿Necesitas luchar contra tus sentimientos extraños para que tu ansiedad desaparezca?,No,,https://drive.google.com/file/d/1xOEaZdmjhMa1dZKtjfWM5xagfKuFXOER/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/night.jpg,1
Salud Mental,,,Saliendo de noche,Estás alistándote para salir por la noche. Te das cuenta de que tienes una espinilla en la mejilla. Te sientes guapo.,N/A,¿Crees que te ves bien?,Si,,https://drive.google.com/file/d/1iG9en_nfEYbr4NEkFMt3-xoAIldZBgYQ/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/bathroom.jpg,1
Salud Mental,,,Cancelar con amigos,"Recientemente te has sentido agotado y cancelas los planes que hiciste con tus amigos. Tus amigos expresan frustración, diciendo que planearon esto hace mucho tiempo y quierian verte. Piensas que has tomado la mejor decisión de ti mismo. ",,¿Te alegras de haber cancelado tus planes de descansar?,Sí,,https://drive.google.com/file/d/1WuPmRt-VoQfR_ZkT1nzIhMKeljNVUJMz/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/phonenumber.jpg,1
Salud Mental,Vida Familiar y Doméstica,,Puerta con seguro,"Una mañana sales de tu casa y comienzas a dirigirte al trabajo. Unos 10 minutos después de salir, te preguntas si recordaste cerrar la puerta de tu casa. A medida que continúas con tu viaje, confías en ti mismo y te sientes relajado.",N/A,Durante el resto del camino te sientes...,Tranquilo y relajado cuando llegas al trabajo.,Preocupado de que hayas dejado la puerta de tu casa sin seguro.,https://drive.google.com/file/d/1L06ap5ra_s6MnwpMX2bIkWHmxWYaUpYT/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/doorlock.jpg,1
Salud Mental,,,Sentirse entumecido,"Has estado lidiando con algunas situaciones estresantes recientemente. Estás reflexionando sobre las últimas semanas y te das cuenta de que no has estado muy emocional, lo que te hace pensar que te has vuelto insensible. Recuerdas que lo has sobrellevado bien y probablemente simplemente has mantenido sus emociones estables.",N/A,¿Estás deprimido?,No,,https://drive.google.com/file/d/1lb5unRFMzlCZwR4qVYPDwPXdw7evicTa/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/thoughts.jpg,1
Salud Mental,Salud Física,,Dolor de estómago,Has estado nervioso por una próxima evaluación en el trabajo. El día de la evaluación notas que te duele el estómago. Piensas que el dolor de estómago probablemente se deber a la ansiedad.,N/A,¿El dolor de estómago se debe a la ansiedad?,Si,No,https://drive.google.com/file/d/1rbCs8iZS6b3LtSyDCOMcEXH8GAlOt4qZ/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/evaluation_1.jpg,1
Salud Mental,Académicos/Trabajo/Desarrollo Profesional,,Trabajo inacabado,"Tuviste un día muy ocupado y no pudiste realizar todas sus tareas. En la cena, tu pareja habla orgullosamente de cómo terminó todo lo que tenía en la lista de tareas pendientes. Al pensar en si podrás completar tu trabajo mañana, te sientes seguro.",N/A,¿Podrás hacer todo?,Si,,https://drive.google.com/file/d/1XUJUmJyqOQBx5b6nraIfLuK3CHwUNri0/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/todo.jpg,1
Salud Mental,Académicos/Trabajo/Desarrollo Profesional,Salud Física,Fuera de tu control,"Estás a punto de hacer tu primera entrevista en línea para una importante promoción. Haces clic en el enlace cuando es hora de unirte a la reunión, pero tu conexión a internet se corta. Piensas en que los entrevistadores podrían asumir que llegaste tarde y sientes nausea.","Después de un minuto, tu conexión a internet vuelve. Inicias sesión de nuevo y te das cuenta de que te sientes más seguro.",¿Te sientes enfermo durante el resto de tu entrevista?,No,,https://drive.google.com/file/d/1XSzs9MSKzUi9VEjvSXdG4wuW6OFlE60F/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/onlinetest.jpg,1
Salud Mental,Académicos/Trabajo/Desarrollo Profesional,,Reunión uno a uno,"Hoy tienes una reunión individual con tu intimidante jefe, lo que te pone nervioso. Durante la reunión, pierdes momentáneamente el hilo de tus pensamientos. Después de eso, tu ansiedad es tolerable.",N/A,¿Eres capaz de tolerar tu ansiedad mientras te reúnes con tu jefe?,Si,,https://drive.google.com/file/d/1XdpsyI2ipYQdebyRJI6icWGBOLJlNXCD/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/boss.jpg,1
Salud Mental,Vida Familiar y Doméstica,,Nerviosismo de cumpleaños,"Tus amigos están organizando una fiesta de cumpleaños para ti en su casa. Invitaron a mucha gente que estarán ahí para ti. Cuando piensas en toda la gente que vendrá, te sientes nervioso. ",Recuerdas que todos vienen a celebrarte. Esto te hace sentir emocionado.,¿Estás emocionado por toda la atención que recibirás?,Sí,,https://drive.google.com/file/d/1UoBTJwOaRbMpWrYnOWNPOBzR-axREE4s/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/birthday_1.jpg,1
Salud Mental,,,Expresándote,"En el trabajo, tu jefe te da la responsabilidad de resolver un problema complicado. Tienes una idea que crees que podría funcionar, pero te preguntas si es demasiado simplista. Mientras consideras compartir tu idea, decides intentarlo.",N/A,¿Compartarás tu idea?,Si,,https://drive.google.com/file/d/1ZodO1F5ZuiDVjiFxjsv5k2GCuLpQwIRf/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/hardquestion.jpg,1
Salud Mental,,,Correo electrónico perspicaz,"Durante una reunión hoy, tienes un pensamiento que consideras realmente perspicaz. No tuviste la oportunidad de mencionarlo en la reunión, pero quieres enviar un correo electrónico al jefe de tu departamento al respecto. Al enviar el correo electrónico, te sientes orgulloso de ti mismo por compartir tus ideas.",N/A,¿Valía la pena compartir tu pensamiento?,Si,,https://drive.google.com/file/d/1azOE2eRIrdOPl9AdAR61tTkqUFdsq0zB/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/email_1.jpg,1
Salud Mental,Situaciones Sociales,,Una invitación,"Invitas a tu supervisor a un evento este fin de semana. Eres el único de tus amigos que es cercano a tu supervisor y no estás seguro de cómo te percibirán los demás. Mientras te preparas para el evento, te sientes feliz.",,¿Estás contento de que tu supervisor asista al evento de tu escuela?,Si,,https://drive.google.com/file/d/1b0lHedBVO7x_rukR1faGc_vfaGCmTSgj/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/event_3.jpg,1
Salud Mental,Académicos/Trabajo/Desarrollo Profesional,,Recibir reconocimiento,Recientemente recibiste un ascenso increíble en tu trabajo. De repente sientes que no trabajaste lo suficiente para ganarte la oportunidad. Crees que mereces el ascenso.,,¿Deberías dejar pasar la promoción?,No,,https://drive.google.com/file/d/1azOE2eRIrdOPl9AdAR61tTkqUFdsq0zB/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/email_1.jpg,1
Salud Mental,Situaciones Sociales,,Sin aliento,"Corres a una reunión en el trabajo porque crees que podrías llegar tarde. Llegas a tiempo a la sala de reuniones, pero respiras con dificultad y te sientes avergonzado porque la gente te está mirando.",Te recuerdas a ti mismo que es normal necesitar recuperar el aliento después de correr y que la gente sólo te mirará durante unos segundos. Encuentras tu asiento y empiezas a relajarte.,¿Es vergonzoso tener que recuperar el aliento?,No,,https://drive.google.com/file/d/1fK5cnosN9juhwT1bAWSq2FvsfWWj1gyO/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/late.jpg,1
Salud Mental,,,Expresar tu opinión,"Tus colegas están hablando de un tema actual y te das cuenta de que tienes una opinión diferente a ellos. Quieres expresarlo, pero preocúpate si te juzgarán. Decides que es mejor ser honesto. ",,¿Deberías evitar añadir a la conversación?,No,,https://drive.google.com/file/d/14E87lNQCbYQYaw2WEZUgqpLVllxzh0qo/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/relationshiptalk.jpg,1
Salud Mental,Vida Familiar y Doméstica,,Tu primer hijo,"Acabas de tener tu primer hijo. Quieres tener una buena relación durante toda la vida de su hijo, pero te preocupa cometer errores como padre. Cuando tu hijo sea adulto, crees que esa relación será cercana.",N/A,Esperas que la relación con tu hijo adulto sea...,Cariñoso y cercano,Distanciado,https://drive.google.com/file/d/1jHnVJt6AMYU6KRQP6IKFjUXh3Cp1J9b0/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/baby.jpg,1
Salud Mental,,,Clima lluvioso,Te despiertas y miras por la ventana y ves que afuera está lluvioso y sombrío. Te quedas dentro todo el día y cuando recuerdas ese día te das cuenta de que la mayoría te sentiste triste por ello. Decides que probablemente fue porque no pudiste salir.,,¿La tristeza de hoy va a durar para siempre?,No,,https://drive.google.com/file/d/1UejoAZIzw5j2-fZDO54rqRL0ITIi4iOf/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/rainwindow.jpg,1
Salud Mental,Académicos/Trabajo/Desarrollo Profesional,,Sentado en una reunión,Estás en una reunión importante y necesitas prestar atención. En medio de la reunión te das cuenta de que te has desconectado y no sabes qué está pasando. Piensas que algo debe estar mal contigo.,"Tomas un poco de agua y comienzas a sentirte más despierto, recordando que anoche no dormiste tanto como de costumbre. Decides que simplemente estás cansado.",¿Tu distracción es una señal de que hay algún problema en tu cerebro?,No,,https://drive.google.com/file/d/10fLWhto09ulpTOoQ_oICa06UK6vWzttW/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/presentation_2.jpg,1
Salud Mental,,,Enfrentando a un amigo,"En una conversación con un amigo, ellos dicen algo un poco ofensivo y no parecen darse cuenta de que te hicieron sentir incómodo. Los confrontas sobre su comentario y por qué fue ofensivo, y en ese momento te preocupas que estarán enojados contigo. Cuando responden, te agradecen por tu comunicación y te piden disculpas. ",N/A,¿Estás orgulloso de haberte comunicado con tu amigo?,Si,,https://drive.google.com/file/d/1Vg9pDOIb4D_9uk_FU-PN67RDhh3URJqT/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/friendconvo.jpg,1
Salud Mental,Académicos/Trabajo/Desarrollo Profesional,,Revisando tu trabajo,"Te han llamado para una evaluación de desempeño con tu jefe. En general, haces un buen trabajo, pero sabes que tu jefe ha notado algunos errores recientemente. Mientras te preparas para la revisión, piensas que tu reunión probablemente se centrará en tus defectos.",N/A,"Crees que durante tu evaluación de desempeño, es probable que su jefe diga...","""¡Estos errores son simplemente inaceptables en este momento!""","""Todavía estoy muy contento con el trabajo que has estado haciendo"".",https://drive.google.com/file/d/1EAYPVHFKPfUOp3vNgYgsrQGqdKFYW-a8/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/bossmeeting.jpg,1
Salud Mental,Salud Física,,Revisión física anual,"Estás recibiendo tu revisión médica anual. Después de un examen inicial, tu médico indica que algo parece inusual y dice que necesitarán obtener una segunda opinión. Cuando se trata de manejar tu ansiedad mientras esperas en la sala de examen, eres capaz.",N/A,¿Eres capaz de manejar tu ansiedad mientras esperas al doctor?,Si,,https://drive.google.com/file/d/1gfUANnECP3LDzTjUtm_9lBpdAe3s4Xyw/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/physical.jpg,1
Salud Mental,Situaciones Sociales,,Redes sociales,"Mientras te desplazas por tus redes sociales, ves una foto de todos tus amigos pasándolo bien en una llamada de video. No te invitaron a pasar el rato con ellos en línea. Lo piensas y decides que puedes sobrellevar tus sentimientos.",N/A,¿Puedes manejar que a veces tus amigos pasan tiempo sin ti?,Si,,https://drive.google.com/file/d/1C2a62EXZZgDQ05jLqV6S9eO4NUs2R1SU/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/phoneover.jpg,2
Salud Mental,Relaciones Románticas,,Amigos en las relaciones,Todos tus amigos están en relaciones. Actualmente no estás en una relación y te preguntas si hay algo malo en ti. Piensas que eres indeseable.,"Después de un tiempo, te das cuenta de que es muy normal no estar en una relación. Piensas que disfrutas estar soltero y que la persona adecuada aparecerá cuando estés listo. ",¿Eres capaz de estar en una relación?,Sí,No,https://drive.google.com/file/d/1u-_r0tB9RIGlIUC3K6ifS1cUbgd25kEk/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/friendstalking_1.jpg,2
Salud Mental,Académicos/Trabajo/Desarrollo Profesional,,Estar a cargo,"Recientemente fuiste elegido para estar a cargo de un grupo de personas nuevas en tu trabajo. Cuando conoces a otras personas a cargo de grupos, sientes que no trabajaste tan duro como ellos y que no mereces este puesto. Te tomas un minuto para pensar en lo que das a tu trabajo y te das cuenta de que has estado dando todo lo que has podido, y la gente definitivamente se dio cuenta de esto.",,¿Sientes que mereces tu puesto en tu trabajo?,Si,,https://drive.google.com/file/d/1cCdFnGwW1dNBLOO7cPWVry3DULHFtlcc/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/elected.jpg,2
Salud Mental,Relaciones Románticas,,Una nueva relación,"Llevas un tiempo con tu pareja y todavía te gustan mucho. Recientemente, tu pareja no ha expresado mucha adoración hacia ti y te preguntas si todavía te aman tanto como tú los amas. Crees que ya no les gustas.",N/A,¿Tu pareja todavía te ama?,No,Si,https://drive.google.com/file/d/1VIJYeImFMUm7Aaacnct7HyxaOYy72Mq6/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/marriedcouple.jpg,2
Salud Mental,Académicos/Trabajo/Desarrollo Profesional,,Tomar un descanso,"Has estado muy ocupado los últimos meses, y no has tenido mucho tiempo libre. Finalmente tienes la oportunidad de descansar, pero te sientes culpable de tomar un descanso en lugar de completar el trabajo. Crees que mereces relajarte. ",,¿Deberías hacer tu trabajo ahora mismo?,No,,https://drive.google.com/file/d/1OSRDlUvXTNnwLZlxsji3kxnfVjWLAKmD/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/agenda.jpg,2
Salud Mental,,,Obteniendo ayuda,"Estos últimos meses, te has sentido muy deprimido y no has estado disfrutando de tus actividades normales. Te preguntas si tratamiento funcionaría para ti, pero te sientes desanimado. A medida que piensas más en buscar ayuda, crees que te ayudaría a sentirte mejor.",N/A,¿Buscar ayuda te ayudará sentir mejor?,Si,,https://drive.google.com/file/d/1UBORN__WOk3N5lP4X-qA_lwYYhlyyYqS/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/anxious.jpg,2
Salud Mental,Salud Física,,Día caluroso,"Regresando a casa en un día muy caluroso, te tomas un vaso grande de agua rápidamente. Pronto te sientes anormalmente lleno y un poco enfermo del estómago.",N/A,Respondes a la sensación en tu estómago...,Observando las sensaciones sin hacer nada.,Entrando en pánico por las sensaciones y llamando a una ambulancia.,https://drive.google.com/file/d/1zIU7R9B0aDdb2iU_AHp4YbObnLDAts0M/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/glass.jpg,2
Salud Mental,,,Participación en las redes sociales,"Publicas una foto tuya en las redes sociales en la que sientes que te ves muy bien. Después de un par de días, ves que has recibido muy pocos gustas y comentarios. Todavía te sientes seguro en la foto a pesar de tu participación en las redes sociales.",,¿Te ves bien en la foto que publicaste?,Si,,https://drive.google.com/file/d/1x6YtYEy6hdyz4-M5McGewICI16YWjtav/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/photo-es.jpg,2
Salud Mental,Académicos/Trabajo/Desarrollo Profesional,,Sentirse ansioso,"Tienes una gran presentación pendiente. Cuando piensas en pararte frente de gente y hablar, te sientes ansioso. Crees que esto probablemente sea temporal.",N/A,¿Siempre sentirás ansiedad?,No,,https://drive.google.com/file/d/1FcB5CvXNaJdV8qJE0nz1NN6MVKPtk2zJ/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/presentation.jpg,2
Salud Mental,Situaciones Sociales,,Tiempo para ti mismo,"Tu parte favorita del día es relajarte para cenar. Cuando empiezas a preparar la cena, te das cuenta de que has estado comiendo solo mucho recientemente, y te sientes triste. Decides que estás bien con este hecho, ya que te da tiempo para reflexionar sobre tu día. ",N/A,¿Estás bién con comer solo?,Sí,,https://drive.google.com/file/d/18ON-daCCgtQApC9SVxzPUIsZEHK2kZJK/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/dinneralone.jpg,2
Salud Mental,Académicos/Trabajo/Desarrollo Profesional,,Quedando atrás,"Recientemente comenzaste un nuevo trabajo. Mientras trabajas, parece que todos los que te rodean saben lo que están haciendo, pero aún estás confundido. Crees que esto se debe a que todavía estás aprendiendo y pronto te darás cuenta.",,¿Mejorarás en tu trabajo?,Si,,https://drive.google.com/file/d/1V3qcOIHvtf7LmQss0ruGtHPfIMlyIauX/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/office.jpg,2
