Broad Domain 1,Broad Domain 2,Broad Domain 3,Hoos TC Title,Spanish scenario body,Old Photo Link,New Photo Link,Spanish  positive/adaptive THOUGHT,Spanish  positive/adaptive THOUGHT,Spanish  negative/maladaptive THOUGHT,Spanish  tolerating negative or resilience THOUGHT,Spanish  tolerating negative or resilience THOUGHT,Spanish  positive/adaptive FEELING,Spanish  positive/adaptive FEELING,Spanish  negative/maladaptive FEELING,Spanish  tolerating negative or resilience FEELING,Spanish  tolerating negative or resilience FEELING,Spanish  positive/adaptive BEHAVIOR,Spanish  positive/adaptive BEHAVIOR,Spanish  negative/maladaptive BEHAVIOR,Spanish  tolerating negative or resilience BEHAVIOR,Spanish  tolerating negative or resilience BEHAVIOR
Salud Física,,,Subiendo escaleras,"Te estás reuniendo con tu jefe. Para llegar a tiempo, simplemente subió dos tramos de escaleras rápidamente y sintió que su corazón latía muy rápidamente.",https://drive.google.com/file/d/1UaMY72ruqnun425RYF8wTmUS8luyG_f0/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/stairs.jpg,Estoy feliz de llegar a tiempo.,¡Ese fue un mini entrenamiento impresionante!,Estoy tan fuera de forma.,"Quiero pensar en cómo esto podría ser un signo de una condición subyacente, pero probablemente sea solo por las escaleras. ",Pienso en los latidos de mi corazón y decido que es normal teniendo en cuenta la velocidad a la que iba.,Estoy orgulloso de mí mismo por hacerme sentir un poco incómodo.,Me alegro de haber podido subir las escaleras tan rápido.,Tengo pánico de que voy a morir.,"Aunque estoy preocupada por mi salud, decido concentrarme en el momento con mi jefe. ","Quiero sentirme preocupado por esta situación, pero desvío mi atención a la reunión. ",Le sonrío a mi jefe una vez que llego a la reunión.,Respiro profundamente y me concentro en calmarme.,Le pregunto a mi jefe si podría estar sufriendo un infarto.,"Siento la necesidad de buscar mis síntomas en línea, pero recuerdo que sentirme así es normal después de subir muchas escaleras. ",Me recuerdo a mí mismo que debo respirar lentamente unas cuantas veces para volver a centrar mis pensamientos después de sentir la necesidad de llorar.
Situaciones Sociales,,,Salir sin ti,"Estás en el trabajo y escuchas a algunos de tus compañeros de trabajo conversando detrás de ti. Mientras escuchas, te das cuenta de que no te invitaron a una pequeña reunión y que algunos de tus compañeros de trabajo y amigos estaban pasando el rato sin ti. ",https://drive.google.com/file/d/180Vk6BvitDkwytr0yGv0Wb3wtx8-2D8_/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/overheard.jpg,Parece que se lo pasaron muy bien.,Es bueno que mis compañeros de trabajo puedan pasar tiempo juntos fuera del trabajo.,Me pregunto si no me invitaron porque piensan que soy aburrido.,"Creo que se habrán olvidado de mí, pero la próxima vez lo recordarán. ","Me pregunto si realmente no les agrado a mis compañeros de trabajo, pero luego me desafío a pensar en momentos en los que todos hemos pasado un buen rato juntos. ",Me siento feliz de que mis compañeros de trabajo se lleven tan bien.,Me emociona saber lo bien que se lo pasaron.,Me da vergüenza no haber sido invitado.,"Me entristece que se hayan olvidado de mí, pero luego me digo a mí mismo que probablemente no pretendían ser malos.","Me preocupa haber perdido todas mis amistades en el lugar de trabajo, pero luego recuerdo que eso no es realista. ",Les digo algo lindo.,Me comunico con uno de mis compañeros de trabajo y le hago saber que me encantaría pasar el rato con él la próxima vez.,Decido evitar hablar con mis compañeros de trabajo cuando sea posible.,"Realmente quiero preguntarles a mis compañeros de trabajo por qué no me invitaron, pero decido que no es necesario preguntar. ","Quiero llorar, pero recuerdo que he salido con algunos de estos amigos y compañeros de trabajo sin que todos estuvieran presentes. "
Situaciones Sociales,,,Salir sin ti,"Estás en el trabajo y escuchas a algunos de tus compañeros de trabajo conversando detrás de ti. Mientras escuchas, te das cuenta de que no te invitaron a una pequeña reunión y que algunos de tus compañeros de trabajo y amigos estaban pasando el rato sin ti. ",https://drive.google.com/file/d/180Vk6BvitDkwytr0yGv0Wb3wtx8-2D8_/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/overheard.jpg,Mis compañeros de trabajo se ven muy felices.,Pienso en todos los buenos momentos que he pasado con mis amigos del trabajo.,Creo que querían dejarme fuera de la reunión.,"Me pregunto si me excluyeron intencionalmente, pero recuerdo que pasé tiempo con compañeros de trabajo sin que todos estuvieran allí también.","En realidad, no debo agradarles a mis compañeros de trabajo. Pero sé que ese no es el caso; Tenemos un montón de diversión juntos. ",Estoy tranquilo escuchando lo que hicieron.,Me alegro de tener a estas personas como compañeros de trabajo.,Me entristece que se hayan olvidado de mí.,"Me preocupa que me hayan dejado fuera a propósito, pero recuerda todas las veces que me han incluido. ","Me siento triste, pero decido pensar en los buenos momentos que he pasado con mis amigos del trabajo.",Saludo a mis compañeros de trabajo cuando los veo en nuestra oficina.,Invitaré a algunos de mis compañeros de trabajo a salir más adelante esta semana.,Lloro y pienso en otras ocasiones en las que he sido excluido.,"Quiero ignorarlos por no invitarme, pero recordarme que eso sería infantil. ","Quiero contar chismes sobre lo horrible que fue que no me invitaran, pero decido que eso no sería útil. "
Relaciones Románticas,,,Persona atractiva en las redes sociales.,"Mientras navegas por una aplicación de citas, ves a una persona atractiva que conociste en el supermercado la semana pasada. Decides que te guste su perfil. ",https://drive.google.com/file/d/1cZuUvxfxc9jrn57Y99LQosxbvUvv8V-R/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/datingapp.jpg,Espero que podamos continuar la gran conversación que iniciamos en la tienda.,Pienso en cómo podríamos tener una cita.,Esta persona pensará que soy raro por darle me gusta a su perfil.,"Pienso si pensarán que mis fotos son tontas, pero luego me recuerdo a mí mismo que estoy orgulloso de mi perfil. ","Me pregunto si piensan que soy atractiva, pero recuerdo que la apariencia no lo es todo. ",Me siento feliz de que me haya gustado su perfil.,Me siento emocionado porque tengo una perspectiva romántica.,Tengo miedo de nunca encontrar a alguien que esté interesado románticamente en mí.,"Me siento avergonzado por algunas fotografías que tengo subidas, pero decido sentirme seguro de ellas. ","Me da vergüenza que me guste su perfil, pero decido entusiasmarme con la oportunidad.",Les envío un mensaje para iniciar la conversación.,Le cuento a mi amigo lo que me gustó su perfil.,Elimino todas las imágenes que puedan resultar embarazosas.,"Quiero desactivar mi cuenta, pero decido mantenerla. ","Quiero cambiar algunas de mis imágenes, pero mantenerlas igual. "
Académicos/Trabajo/Desarrollo Profesional,Vida Familiar y Doméstica,,Balancear responsibilidades,Tienes muchas tareas domésticas que hacer esta noche y también tienes un gran proyecto que debes entregar mañana. Ambos tienen que hacerse y usted piensa en cómo manejará todo.,https://drive.google.com/file/d/1I4HOF2-6lL6iKdgXECEzDily8_OIvcnT/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/dishes.jpg,Puedo gestionar ambas tareas.,Creo que esto me ayudará a organizarme cuidadosamente en el futuro.,No creo que pueda realizar todas estas tareas.,"Odio sentir que tengo mucho que hacer, pero haré lo mejor que pueda para hacerlo todo. ","Creo que esto es demasiado trabajo, pero considere lo bien que se sentirá cuando esté todo terminado.",Me emociona escuchar a mi artista favorito mientras hago mis quehaceres.,Estoy tranquila mientras priorizo ​​mis tareas domésticas y mi proyecto.,Estoy ansioso por poder hacer todo.,"Aunque me siento abrumado, intento sentirme agradecido por el trabajo que tengo y por la casa en la que vivo.","Me siento molesto por todo lo que tengo que hacer, pero me imagino cómo se sentirá tenerlo todo logrado. ",Empiezo con las tareas del hogar.,Empiezo con el proyecto primero.,Me siento y no hago nada.,"Solo quiero ser perezoso y tomar una siesta, pero decido comenzar con una tarea. ","Quiero evitar todas las tareas, pero decido hacer un horario para ayudarme a organizar mi tiempo. "
Académicos/Trabajo/Desarrollo Profesional,Vida Familiar y Doméstica,,Balancear responsibilidades,Tienes muchas tareas domésticas que hacer esta noche y también tienes un gran proyecto que debes entregar mañana. Ambos tienen que hacerse y usted piensa en cómo manejará todo.,https://drive.google.com/file/d/1I4HOF2-6lL6iKdgXECEzDily8_OIvcnT/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/dishes.jpg,Pienso en lo maravilloso que es estar ocupado.,Puedo equilibrar mucho.,No voy a poder hacer todo esto esta noche.,"Es abrumador tener tanto que hacer, pero puedo hacerlo de una en una. ","No sé cómo voy a encajar todo esto esta noche, pero puedo hacer un plan. ",Estoy tranquilo mientras descubro cómo hacer todo esta noche.,Me emociona descubrir nueva música mientras hago las tareas del hogar.,Tengo un nudo en el estómago porque no sé si haré mi trabajo.,"Siento que no quiero hacer nada, pero sé que será maravilloso haber realizado estas tareas. ","Me siento frustrado por la falta de tiempo, pero sé que una vez que empiece, todo empezará a fluir. ",Describo un cronograma a seguir.,Como un refrigerio y luego empiezo con las tareas del hogar primero.,Me quejo de lo mucho que tengo que hacer.,"Me siento y empiezo a evitar tanto las tareas del hogar como mi proyecto, pero decido hacer lo correcto y me levanto para comenzar la primera tarea.","Lo pospongo para llamar a un amigo, pero decido comenzar con las tareas del hogar después. "
Situaciones Sociales,Finanzas,,el regalo de cumpleaños,Tu amigo va a celebrar una gran fiesta de cumpleaños y la mayoría de las personas de tu grupo de amigos estarán allí. Muchos de tus amigos son más ricos que tú y pueden permitirse el lujo de hacer regalos más caros.,https://drive.google.com/file/d/1FK97F0rS8LTIXbo5OdxVuIloeA1-jeHr/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/bdaypresents.jpg,Creo que mi amigo estará feliz de verme.,Tengo muchas ganas de celebrarlo con amigos.,Mi amigo se sentirá decepcionado con el regalo que puedo permitirme llevarle.,"Creo que soy un mal amigo, pero sé que el regalo que traigo es considerado. ","Supongo que todos trajeron un regalo caro, pero en realidad no sé si eso es cierto.",Me siento agradecido de haber sido invitado.,Me siento emocionado de que comience la fiesta.,Me siento triste porque no gano tanto dinero como mis amigos.,"Me siento avergonzado, pero decido que los obsequios bien pensados ​​son más significativos que los caros.","Me siento culpable por traer un regalo más barato, pero recuerdo que mi amigo probablemente aún lo apreciará.",Yo me quedo en la fiesta.,Entro y abrazo a mi amigo.,Decido quedarme una hora y salir.,"Quiero irme antes de que abran los regalos, pero decido quedarme. ","Pienso en mentir que olvidé el regalo en casa, pero se lo doy a mi amiga."
Vida Familiar y Doméstica,Salud Física,,Miembro de la familia de edad avanzada,Vas a la casa de tus padres por primera vez en mucho tiempo y notas que tu padre parece mucho menos saludable de lo que recuerdas. Ninguno de tus padres menciona nada sobre su salud.,https://drive.google.com/file/d/1--Dsh79NQFoIe97rn3Clv7DVEK8PAaTM/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/older.jpg,Quiero aprovechar al máximo mi tiempo con mi padre.,Está feliz de verme.,Mi padre debe estar muriendo.,"Pienso en lo miserable que seré cuando él fallezca, pero luego me recuerdo a mí mismo que hoy debo disfrutar mi tiempo con él. ","Mis padres deben estar guardando un secreto sobre su salud, pero luego me dicen que todo el mundo envejece. ",Me siento feliz de ver a mi padre.,Me siento emocionado de ponerlo al día con todas las cosas nuevas que están sucediendo en mi vida.,Me preocupa cómo se ve.,"Tengo miedo de perderlo, pero sé que puedo soportar el dolor. ","Me siento ansioso por su salud, pero tolero la ansiedad. ",Decido darle un gran abrazo y sonreír.,Hago una broma divertida para hacer reír a mis padres.,No hablo con mis padres porque no me dijeron que estaba enfermo.,"Quiero irme y llorar, pero decido quedarme con la familia y conversar. ",Noto mi tristeza pero le pregunto amablemente a mi padre cómo está y acepto cualquier respuesta que me dé.
Vida Familiar y Doméstica,Salud Física,,Miembro de la familia de edad avanzada,Vas a la casa de tus padres por primera vez en mucho tiempo y notas que tu padre parece mucho menos saludable de lo que recuerdas. Ninguno de tus padres menciona nada sobre su salud.,https://drive.google.com/file/d/1--Dsh79NQFoIe97rn3Clv7DVEK8PAaTM/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/older.jpg,Se ve muy feliz de estar con la familia.,Mi padre se alegra de que esté de visita.,Probablemente fallezca pronto.,"Me pregunto qué estará pasando con su salud, pero me tranquilizo sabiendo que mi familia lo cuida. ","Pienso si mis padres me están ocultando algo, pero me digo a mí mismo que no puedo controlar la salud de mi padre. ",Estoy agradecido de poder pasar tiempo con mi padre.,Me emociona que mi padre esté entablando una conversación.,Me inquieta la apariencia de mi padre.,"Empiezo a sentirme enojado por cómo está envejeciendo, pero sé que esto es parte de la vida y no puedo cambiarlo. ","Me siento ansioso y empiezo a pensar demasiado en lo que podría estar mal, pero recuerdo que no puedo controlar su salud.",Empiezo a conversar con mi familia.,Me río de una tontería que dijo mi padre.,Evito pensar en su salud.,"Quiero interrogar a la familia sobre su salud, pero decido disfrutar de la reunión. ","Siento la necesidad de preguntarle sobre su salud, pero respiro hondo y escucho lo que habla mi familia ahora sabiendo que hay una razón por la que no me han dicho nada. "
Vida Familiar y Doméstica,Salud Mental,,araña perdida,"Cuando entras a la ducha, ves una enorme araña en la pared. Te das la vuelta por un segundo, miras hacia atrás y te das cuenta de que ya no está. ",https://drive.google.com/file/d/1EUMVkI6asoBt7l80JfW7XQ4KWT27fZDe/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/shower.jpg,Los movimientos de la araña son realmente interesantes.,La araña no me va a hacer daño.,¡Me va a saltar encima!,"Pienso en todos los lugares donde podría estar la araña, pero no puedo controlar lo que está haciendo.","Pienso en lo aterradora que parecía la araña, pero también en lo pequeña que era en realidad. ",Me sentiré tan renovado después de esta ducha.,Agradezco que la araña esté aquí para comerse otros insectos en mi casa.,Me preocupa saber dónde se arrastrará la araña a continuación.,"Estoy nervioso por la araña, pero recuerdo que probablemente ella me tenga más miedo.","Me siento asustado, pero sé que soy lo suficientemente valiente como para ducharme de todos modos.",Pongo mi canción favorita y me meto en la ducha.,Sigo con mi rutina de baño.,Salgo del baño inmediatamente y no me ducho.,"Quiero huir, pero decido quedarme y enfrentar mis miedos.","Quiero gritar, pero en lugar de eso, muevo suavemente a la araña afuera."
Relaciones Románticas,Situaciones Sociales,,bebida derramada,"Tienes una cita en una cafetería con una persona que realmente te gusta. Mientras regresas a la mesa, tropiezas, te caes y derramas café por todos lados.",https://drive.google.com/file/d/1ijt0ecisBDCbnP9iQ5cHp7WQlGPwmTpO/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/coffee.jpg,Probablemente esto le haya pasado a mucha gente.,¡Esto será una gran manera de romper el hielo cuando empiece a hablar con mi cita!,Parezco un total torpe frente a mi cita.,"Mi cita podría pensar que soy un poco torpe, pero probablemente no les importe. ","Ojalá hubiera sido un poco más cuidadoso, pero soy humano y sucede.",Me siento afortunada de no haberme lastimado.,Estoy seguro de que tendremos una gran conversación.,Me siento como un tonto.,"Me molesta que la cita haya comenzado de esta manera, pero podría ayudarnos a sentirnos más cómodos hablando entre nosotros.","Me da vergüenza haber tropezado frente a mi cita, pero este sentimiento pasará.",Me río con mi cita por mi derrame.,Limpio y compro otro café.,Termino la cita antes porque me da mucha vergüenza.,"Siento la necesidad de evitar hablar con mi cita después de esto, pero decido preguntarles si quieren volver a salir.","Tengo ganas de llorar, pero respiro hondo. "
Relaciones Románticas,Vida Familiar y Doméstica,,Puntos de vista opuestos,"Tanto usted como su pareja tienen opiniones firmes y no siempre están de acuerdo. Una noche, durante la cena, entablas una acalorada discusión sobre un tema que te apasiona.",https://drive.google.com/file/d/1CY5PLw_DW_F4ZZCed1eIaQEOb-3QH5ru/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/dinnerdate.jpg,Éste es un tema muy importante que debemos debatir.,Mi pareja es realmente inteligente y reflexiva.,Nuestra relación va a terminar por esta discusión.,"Creo que tengo razón, pero elijo aceptar que es posible que no estemos de acuerdo en este punto.","Incluso cuando mi pareja y yo estamos enojados el uno con el otro, sé que todavía nos preocupamos profundamente el uno por el otro.",Estoy agradecido de tener un socio que se preocupa tanto por temas importantes.,Me siento respetado cuando discutimos nuestras diferencias de opinión.,Me enfurece que no estemos de acuerdo en esto.,"Estoy molesto porque nos peleamos, pero tengo la esperanza de que podamos salir adelante. ","Me decepciona que no estemos de acuerdo en este punto, pero sé que es normal que las parejas tengan desacuerdos. ",Intento ver las cosas desde la perspectiva de mi pareja para entender de dónde vienen.,Explico mis puntos de vista con calma y claridad.,Amenazo con romper con mi pareja si no está de acuerdo conmigo.,"Quiero gritarle a mi pareja, pero me tomo unos minutos para calmarme antes de volver a la conversación.","Quiero encerrarme en mi habitación, pero decido que evitar a mi pareja no será útil a largo plazo."
Finanzas,Vida Familiar y Doméstica,,Administrar facturas,El pago de su hipoteca vence pronto y también tendrá que pagar algunas facturas médicas inesperadas. Tu presupuesto es ajustado este mes y piensas en cómo podrás afrontar todo esto.,https://drive.google.com/file/d/1uK9xKfyrNjXoEwvNPCJiCLHI5qN7JAcc/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/bills_1.jpg,Puedo encontrar una manera de manejar esto.,He enfrentado con éxito desafíos financieros en el pasado y puedo hacerlo de nuevo ahora.,Nunca podré permitirme todo esto.,"Esta es una situación difícil, pero no tendré todos estos gastos todos los meses.","Creo que no hay solución para este problema, pero doy un paso atrás y pienso en mis opciones.",Confío en mi capacidad para encontrar una solución.,Estoy orgulloso de mí mismo por manejar una situación financiera difícil.,Me siento completamente bajo el agua.,"Me preocupa no poder ahorrar dinero este mes, pero tengo la esperanza de poder ahorrar en el futuro.",Estoy realmente frustrado porque todo esto está sucediendo al mismo tiempo y reconozco que está bien sentirse así.,Le pido ayuda a un amigo para idear un plan.,Hablo con mi compañía de seguros sobre las opciones de pago.,Me siento y no hago nada.,"Solo quiero ser perezoso y tomar una siesta, pero decido empezar a hacer un plan.","Quiero evitar lidiar con esta situación, pero decido hacer un presupuesto para ayudarme a organizar mis finanzas. "
Finanzas,Vida Familiar y Doméstica,,Responsibilidad financiera,Su pareja estuvo en el hospital recientemente y usted ha estado ayudando a pagar sus facturas médicas. Te preguntas qué significará esto para tus finanzas en el futuro.,https://drive.google.com/file/d/17vlVtB08gJECMAm112EAZx3aEOV-ajTK/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/hospital.jpg,Mi pareja es muy fuerte.,Vamos a salir de esto.,Nos vamos a quedar sin dinero para pagar estas facturas.,"Pienso en lo desafiante que es esta situación, pero recuerdo que no durará para siempre. ","Intento imaginar cómo se podría haber evitado esto, pero acepto que mi pareja necesitaba estar en el hospital. ",Estoy encantada de que mi pareja haya salido del hospital.,Confío en nuestro plan para manejar esta situación.,Me aterroriza pensar que nunca nos recuperaremos financieramente de esto.,"Tengo miedo de lo que esto significa para mis finanzas, pero confío en que lo resolveremos. ","La incertidumbre de esta situación es incómoda, pero puedo tolerarla.",Hablo con mi pareja sobre nuestras finanzas y hago un plan.,Ajusto mi presupuesto para poder estar preparado para situaciones como esta en el futuro.,Evito lidiar con las facturas médicas.,"Quiero evitar la situación, pero elijo afrontarla de frente.","Quiero enterrar mis emociones, pero decido compartir cómo me siento con mi pareja. "
